POLineID,PONumber,OrderDate,SupplierID,ProductID,WarehouseID,QtyOrdered,UnitCostNGN,LineValueNGN,PromisedDate,ReceivedDate
POL-00041,PO-2024-00041,2024-07-08,SUP-18,PRD-0116,WH-ABJ,63,13800,869400,2024-07-18,2024-07-12
POL-00042,PO-2024-00042,2024-07-08,SUP-10,PRD-0117,WH-ABJ,85,15200,1292000,2024-07-22,2024-07-21
POL-00043,PO-2024-00043,2024-07-08,SUP-14,PRD-0118,WH-LAG2,121,17600,2129600,2024-07-29,2024-07-26
POL-00044,PO-2024-00044,2024-07-08,SUP-22,PRD-0120,WH-IBD,132,12400,1636800,2024-07-22,2024-07-17
POL-00045,PO-2024-00045,2024-07-08,SUP-14,PRD-0121,WH-LAG2,167,21600,3607200,2024-07-29,2024-07-22
POL-00046,PO-2024-00046,2024-07-08,SUP-14,PRD-0121,WH-IBD,154,21600,3326400,2024-07-29,2024-07-28
POL-00047,PO-2024-00047,2024-07-08,SUP-14,PRD-0124,WH-ABJ,68,6800,462400,2024-07-29,2024-07-30
POL-00048,PO-2024-00048,2024-07-08,SUP-10,PRD-0126,WH-PHC,55,23600,1298000,2024-07-22,2024-07-20
POL-00049,PO-2024-00049,2024-07-08,SUP-10,PRD-0130,WH-LAG1,56,10800,604800,2024-07-22,2024-07-22
POL-00050,PO-2024-00050,2024-07-08,SUP-23,PRD-0132,WH-PHC,54,31400,1695600,2024-07-22,2024-07-15
POL-00051,PO-2024-00051,2024-07-08,SUP-03,PRD-0136,WH-ABJ,80,42600,3408000,2024-07-15,2024-07-15
POL-00052,PO-2024-00052,2024-07-08,SUP-19,PRD-0143,WH-IBD,52,41200,2142400,2024-07-18,2024-07-15
POL-00053,PO-2024-00053,2024-07-08,SUP-07,PRD-0146,WH-LAG2,44,27800,1223200,2024-07-18,2024-07-16
POL-00054,PO-2024-00054,2024-07-08,SUP-11,PRD-0148,WH-ABJ,53,23800,1261400,2024-07-18,2024-07-19
POL-00055,PO-2024-00055,2024-07-08,SUP-07,PRD-0152,WH-LAG2,59,21600,1274400,2024-07-18,2024-07-19
POL-00056,PO-2024-00056,2024-07-08,SUP-15,PRD-0154,WH-LAG1,102,33600,3427200,2024-07-22,2024-07-22
POL-00057,PO-2024-00057,2024-07-08,SUP-03,PRD-0158,WH-LAG1,47,26400,1240800,2024-07-15,2024-07-11
POL-00058,PO-2024-00058,2024-07-08,SUP-11,PRD-0162,WH-LAG2,60,23800,1428000,2024-07-18,2024-07-21
POL-00059,PO-2024-00059,2024-07-08,SUP-03,PRD-0166,WH-PHC,152,21800,3313600,2024-07-15,2024-07-13
POL-00060,PO-2024-00060,2024-07-15,SUP-24,PRD-0001,WH-LAG1,77,4200,323400,2024-07-29,2024-08-11
POL-00061,PO-2024-00061,2024-07-15,SUP-12,PRD-0004,WH-IBD,137,3900,534300,2024-07-22,2024-07-20
POL-00062,PO-2024-00062,2024-07-15,SUP-24,PRD-0006,WH-LAG2,28,2500,70000,2024-07-29,2024-08-11
POL-00063,PO-2024-00063,2024-07-15,SUP-20,PRD-0008,WH-PHC,53,13500,715500,2024-07-25,2024-07-22
POL-00064,PO-2024-00064,2024-07-15,SUP-24,PRD-0010,WH-ABJ,23,13200,303600,2024-07-29,2024-08-08
POL-00065,PO-2024-00065,2024-07-15,SUP-16,PRD-0011,WH-IBD,95,13900,1320500,2024-07-22,2024-07-18
POL-00066,PO-2024-00066,2024-07-15,SUP-04,PRD-0017,WH-IBD,42,31800,1335600,2024-07-29,2024-07-31
POL-00067,PO-2024-00067,2024-07-15,SUP-12,PRD-0018,WH-LAG2,99,48200,4771800,2024-07-22,2024-07-18
POL-00068,PO-2024-00068,2024-07-15,SUP-12,PRD-0018,WH-ABJ,101,48200,4868200,2024-07-22,2024-07-21
POL-00069,PO-2024-00069,2024-07-15,SUP-24,PRD-0020,WH-IBD,111,23800,2641800,2024-07-29,2024-08-12
POL-00070,PO-2024-00070,2024-07-15,SUP-04,PRD-0026,WH-LAG2,44,3600,158400,2024-07-29,2024-08-10
POL-00071,PO-2024-00071,2024-07-15,SUP-04,PRD-0027,WH-LAG2,23,3800,87400,2024-07-29,2024-08-08
POL-00072,PO-2024-00072,2024-07-15,SUP-20,PRD-0029,WH-PHC,34,8900,302600,2024-07-25,2024-07-23
POL-00073,PO-2024-00073,2024-07-15,SUP-16,PRD-0031,WH-IBD,84,30200,2536800,2024-07-22,2024-07-19
POL-00074,PO-2024-00074,2024-07-15,SUP-08,PRD-0033,WH-LAG1,90,9400,846000,2024-07-29,2024-07-29
POL-00075,PO-2024-00075,2024-07-15,SUP-08,PRD-0033,WH-ABJ,67,9400,629800,2024-07-29,2024-07-29
POL-00076,PO-2024-00076,2024-07-15,SUP-20,PRD-0035,WH-ABJ,90,11800,1062000,2024-07-25,2024-07-25
POL-00077,PO-2024-00077,2024-07-15,SUP-20,PRD-0035,WH-PHC,67,11800,790600,2024-07-25,2024-07-21
POL-00078,PO-2024-00078,2024-07-15,SUP-04,PRD-0036,WH-PHC,50,15600,780000,2024-07-29,2024-08-09
POL-00079,PO-2024-00079,2024-07-15,SUP-08,PRD-0037,WH-LAG2,125,19800,2475000,2024-07-29,2024-07-30
POL-00080,PO-2024-00080,2024-07-15,SUP-16,PRD-0039,WH-LAG2,146,12400,1810400,2024-07-22,2024-07-19
POL-00081,PO-2024-00081,2024-07-15,SUP-16,PRD-0039,WH-ABJ,210,12400,2604000,2024-07-22,2024-07-21
POL-00082,PO-2024-00082,2024-07-15,SUP-20,PRD-0040,WH-IBD,50,11200,560000,2024-07-25,2024-07-22
POL-00083,PO-2024-00083,2024-07-15,SUP-20,PRD-0040,WH-PHC,61,11200,683200,2024-07-25,2024-07-25
POL-00084,PO-2024-00084,2024-07-15,SUP-08,PRD-0041,WH-ABJ,63,5200,327600,2024-07-29,2024-08-02
POL-00085,PO-2024-00085,2024-07-15,SUP-13,PRD-0046,WH-IBD,49,13800,676200,2024-07-29,2024-08-08
POL-00086,PO-2024-00086,2024-07-15,SUP-25,PRD-0049,WH-ABJ,63,13900,875700,2024-07-22,2024-07-22
POL-00087,PO-2024-00087,2024-07-15,SUP-21,PRD-0052,WH-ABJ,14,33900,474600,2024-07-29,2024-08-14
POL-00088,PO-2024-00088,2024-07-15,SUP-05,PRD-0053,WH-LAG1,30,32800,984000,2024-07-22,2024-07-21
POL-00089,PO-2024-00089,2024-07-15,SUP-09,PRD-0055,WH-LAG2,69,13800,952200,2024-07-29,2024-08-07
POL-00090,PO-2024-00090,2024-07-15,SUP-09,PRD-0056,WH-LAG2,41,21400,877400,2024-07-29,2024-08-07
POL-00091,PO-2024-00091,2024-07-15,SUP-09,PRD-0056,WH-PHC,55,21400,1177000,2024-07-29,2024-07-27
POL-00092,PO-2024-00092,2024-07-15,SUP-17,PRD-0057,WH-LAG2,159,15800,2512200,2024-07-29,2024-08-08
POL-00093,PO-2024-00093,2024-07-15,SUP-01,PRD-0059,WH-IBD,65,42500,2762500,2024-07-22,2024-07-22
POL-00094,PO-2024-00094,2024-07-15,SUP-01,PRD-0060,WH-LAG2,105,47800,5019000,2024-07-22,2024-07-21
POL-00095,PO-2024-00095,2024-07-15,SUP-05,PRD-0062,WH-PHC,126,13600,1713600,2024-07-22,2024-07-21
POL-00096,PO-2024-00096,2024-07-15,SUP-25,PRD-0063,WH-IBD,67,11900,797300,2024-07-22,2024-07-21
POL-00097,PO-2024-00097,2024-07-15,SUP-09,PRD-0065,WH-ABJ,126,26400,3326400,2024-07-29,2024-08-01
POL-00098,PO-2024-00098,2024-07-15,SUP-25,PRD-0067,WH-PHC,77,10400,800800,2024-07-22,2024-07-22
POL-00099,PO-2024-00099,2024-07-15,SUP-25,PRD-0068,WH-LAG1,206,13200,2719200,2024-07-22,2024-07-20
POL-00100,PO-2024-00100,2024-07-15,SUP-17,PRD-0071,WH-LAG1,28,14800,414400,2024-07-29,2024-08-10
POL-00101,PO-2024-00101,2024-07-15,SUP-17,PRD-0072,WH-ABJ,51,32600,1662600,2024-07-29,2024-08-08
POL-00102,PO-2024-00102,2024-07-15,SUP-21,PRD-0074,WH-IBD,74,29400,2175600,2024-07-29,2024-08-05
POL-00103,PO-2024-00103,2024-07-15,SUP-01,PRD-0075,WH-IBD,20,26800,536000,2024-07-22,2024-07-23
POL-00104,PO-2024-00104,2024-07-15,SUP-05,PRD-0079,WH-LAG1,101,38500,3888500,2024-07-22,2024-07-24
POL-00105,PO-2024-00105,2024-07-15,SUP-05,PRD-0079,WH-LAG2,46,38500,1771000,2024-07-22,2024-07-20
POL-00106,PO-2024-00106,2024-07-15,SUP-13,PRD-0086,WH-IBD,238,23800,5664400,2024-07-29,2024-08-03
POL-00107,PO-2024-00107,2024-07-15,SUP-22,PRD-0093,WH-LAG1,229,19400,4442600,2024-07-29,2024-07-28
POL-00108,PO-2024-00108,2024-07-15,SUP-18,PRD-0097,WH-PHC,29,17800,516200,2024-07-25,2024-07-19
POL-00109,PO-2024-00109,2024-07-15,SUP-22,PRD-0098,WH-LAG2,161,13400,2157400,2024-07-29,2024-07-30
POL-00110,PO-2024-00110,2024-07-15,SUP-06,PRD-0101,WH-IBD,21,18400,386400,2024-07-25,2024-07-23
POL-00111,PO-2024-00111,2024-07-15,SUP-06,PRD-0103,WH-LAG2,60,29800,1788000,2024-07-25,2024-07-22
POL-00112,PO-2024-00112,2024-07-15,SUP-02,PRD-0105,WH-LAG1,55,34600,1903000,2024-07-25,2024-07-21
POL-00113,PO-2024-00113,2024-07-15,SUP-02,PRD-0105,WH-PHC,33,34600,1141800,2024-07-25,2024-07-24
POL-00114,PO-2024-00114,2024-07-15,SUP-18,PRD-0111,WH-IBD,107,9800,1048600,2024-07-25,2024-07-24
POL-00115,PO-2024-00115,2024-07-15,SUP-14,PRD-0113,WH-ABJ,117,8600,1006200,2024-08-05,2024-07-31
POL-00116,PO-2024-00116,2024-07-15,SUP-10,PRD-0115,WH-LAG1,162,16400,2656800,2024-07-29,2024-07-28
POL-00117,PO-2024-00117,2024-07-15,SUP-18,PRD-0116,WH-LAG2,52,13800,717600,2024-07-25,2024-07-25
POL-00118,PO-2024-00118,2024-07-15,SUP-10,PRD-0117,WH-PHC,73,15200,1109600,2024-07-29,2024-07-23
POL-00119,PO-2024-00119,2024-07-15,SUP-14,PRD-0118,WH-IBD,128,17600,2252800,2024-08-05,2024-08-05
POL-00120,PO-2024-00120,2024-07-15,SUP-22,PRD-0120,WH-LAG1,251,12400,3112400,2024-07-29,2024-07-27
POL-00121,PO-2024-00121,2024-07-15,SUP-14,PRD-0123,WH-IBD,85,11600,986000,2024-08-05,2024-08-05
POL-00122,PO-2024-00122,2024-07-15,SUP-14,PRD-0123,WH-ABJ,91,11600,1055600,2024-08-05,2024-08-02
POL-00123,PO-2024-00123,2024-07-15,SUP-10,PRD-0125,WH-IBD,328,12800,4198400,2024-07-29,2024-07-26
POL-00124,PO-2024-00124,2024-07-15,SUP-10,PRD-0126,WH-ABJ,52,23600,1227200,2024-07-29,2024-07-26
POL-00125,PO-2024-00125,2024-07-15,SUP-22,PRD-0128,WH-ABJ,82,16800,1377600,2024-07-29,2024-07-27
POL-00126,PO-2024-00126,2024-07-15,SUP-23,PRD-0132,WH-LAG2,65,31400,2041000,2024-07-29,2024-07-29
POL-00127,PO-2024-00127,2024-07-15,SUP-23,PRD-0135,WH-LAG1,286,26400,7550400,2024-07-29,2024-07-26
POL-00128,PO-2024-00128,2024-07-15,SUP-23,PRD-0135,WH-IBD,154,26400,4065600,2024-07-29,2024-07-26
POL-00129,PO-2024-00129,2024-07-15,SUP-11,PRD-0137,WH-IBD,90,24200,2178000,2024-07-25,2024-07-22
POL-00130,PO-2024-00130,2024-07-15,SUP-03,PRD-0138,WH-LAG1,169,21800,3684200,2024-07-22,2024-07-18
POL-00131,PO-2024-00131,2024-07-15,SUP-03,PRD-0138,WH-IBD,78,21800,1700400,2024-07-22,2024-07-22
POL-00132,PO-2024-00132,2024-07-15,SUP-03,PRD-0138,WH-PHC,85,21800,1853000,2024-07-22,2024-07-22
POL-00133,PO-2024-00133,2024-07-15,SUP-15,PRD-0139,WH-LAG1,131,28800,3772800,2024-07-29,2024-07-26
POL-00134,PO-2024-00134,2024-07-15,SUP-19,PRD-0141,WH-LAG1,115,30800,3542000,2024-07-25,2024-07-24
POL-00135,PO-2024-00135,2024-07-15,SUP-19,PRD-0143,WH-ABJ,52,41200,2142400,2024-07-25,2024-07-23
POL-00136,PO-2024-00136,2024-07-15,SUP-19,PRD-0143,WH-PHC,36,41200,1483200,2024-07-25,2024-07-24
POL-00137,PO-2024-00137,2024-07-15,SUP-11,PRD-0148,WH-PHC,43,23800,1023400,2024-07-25,2024-07-25
POL-00138,PO-2024-00138,2024-07-15,SUP-15,PRD-0149,WH-ABJ,30,39800,1194000,2024-07-29,2024-07-29
POL-00139,PO-2024-00139,2024-07-15,SUP-23,PRD-0150,WH-LAG1,141,38400,5414400,2024-07-29,2024-07-26
POL-00140,PO-2024-00140,2024-07-15,SUP-23,PRD-0153,WH-LAG2,137,18800,2575600,2024-07-29,2024-07-29
POL-00141,PO-2024-00141,2024-07-15,SUP-07,PRD-0156,WH-PHC,176,44600,7849600,2024-07-25,2024-07-25
POL-00142,PO-2024-00142,2024-07-15,SUP-03,PRD-0157,WH-LAG2,49,18800,921200,2024-07-22,2024-07-24
POL-00143,PO-2024-00143,2024-07-15,SUP-03,PRD-0157,WH-IBD,47,18800,883600,2024-07-22,2024-07-19
POL-00144,PO-2024-00144,2024-07-15,SUP-23,PRD-0160,WH-IBD,145,25600,3712000,2024-07-29,2024-07-28
POL-00145,PO-2024-00145,2024-07-15,SUP-15,PRD-0161,WH-LAG2,227,27200,6174400,2024-07-29,2024-07-23
POL-00146,PO-2024-00146,2024-07-15,SUP-11,PRD-0162,WH-IBD,51,23800,1213800,2024-07-25,2024-07-23
POL-00147,PO-2024-00147,2024-07-15,SUP-15,PRD-0163,WH-LAG2,58,21600,1252800,2024-07-29,2024-07-27
POL-00148,PO-2024-00148,2024-07-15,SUP-15,PRD-0167,WH-LAG1,113,10800,1220400,2024-07-29,2024-07-24
POL-00149,PO-2024-00149,2024-07-15,SUP-03,PRD-0170,WH-LAG1,124,14200,1760800,2024-07-22,2024-07-21
POL-00150,PO-2024-00150,2024-07-15,SUP-03,PRD-0170,WH-PHC,58,14200,823600,2024-07-22,2024-07-23
POL-00151,PO-2024-00151,2024-07-22,SUP-12,PRD-0004,WH-ABJ,201,3900,783900,2024-07-29,2024-07-28
POL-00152,PO-2024-00152,2024-07-22,SUP-20,PRD-0007,WH-ABJ,112,13800,1545600,2024-08-01,2024-07-25
POL-00153,PO-2024-00153,2024-07-22,SUP-20,PRD-0008,WH-ABJ,44,13500,594000,2024-08-01,2024-07-31
POL-00154,PO-2024-00154,2024-07-22,SUP-16,PRD-0011,WH-LAG2,91,13900,1264900,2024-07-29,2024-07-26
POL-00155,PO-2024-00155,2024-07-22,SUP-08,PRD-0013,WH-LAG1,44,9800,431200,2024-08-05,2024-08-01
POL-00156,PO-2024-00156,2024-07-22,SUP-04,PRD-0017,WH-LAG1,85,31800,2703000,2024-08-05,2024-08-08
POL-00157,PO-2024-00157,2024-07-22,SUP-20,PRD-0022,WH-LAG1,38,9600,364800,2024-08-01,2024-08-01
POL-00158,PO-2024-00158,2024-07-22,SUP-24,PRD-0024,WH-IBD,32,7800,249600,2024-08-05,2024-08-01
POL-00159,PO-2024-00159,2024-07-22,SUP-04,PRD-0025,WH-LAG2,42,4300,180600,2024-08-05,2024-08-01
POL-00160,PO-2024-00160,2024-07-22,SUP-04,PRD-0025,WH-IBD,54,4300,232200,2024-08-05,2024-08-15
POL-00161,PO-2024-00161,2024-07-22,SUP-04,PRD-0025,WH-PHC,64,4300,275200,2024-08-05,2024-08-06
POL-00162,PO-2024-00162,2024-07-22,SUP-24,PRD-0028,WH-LAG1,88,4000,352000,2024-08-05,2024-08-11
POL-00163,PO-2024-00163,2024-07-22,SUP-24,PRD-0028,WH-ABJ,76,4000,304000,2024-08-05,2024-08-06
POL-00164,PO-2024-00164,2024-07-22,SUP-16,PRD-0031,WH-LAG1,210,30200,6342000,2024-07-29,2024-07-29
POL-00165,PO-2024-00165,2024-07-22,SUP-20,PRD-0035,WH-LAG2,75,11800,885000,2024-08-01,2024-07-25
POL-00166,PO-2024-00166,2024-07-22,SUP-04,PRD-0036,WH-LAG1,68,15600,1060800,2024-08-05,2024-08-07
POL-00167,PO-2024-00167,2024-07-22,SUP-16,PRD-0039,WH-IBD,124,12400,1537600,2024-07-29,2024-07-29
POL-00168,PO-2024-00168,2024-07-22,SUP-24,PRD-0042,WH-LAG1,29,21900,635100,2024-08-05,2024-08-14
POL-00169,PO-2024-00169,2024-07-22,SUP-09,PRD-0047,WH-PHC,54,16200,874800,2024-08-05,2024-08-06
POL-00170,PO-2024-00170,2024-07-22,SUP-13,PRD-0048,WH-IBD,46,14500,667000,2024-08-05,2024-08-07
POL-00171,PO-2024-00171,2024-07-22,SUP-13,PRD-0048,WH-PHC,65,14500,942500,2024-08-05,2024-08-10
POL-00172,PO-2024-00172,2024-07-22,SUP-05,PRD-0053,WH-LAG2,18,32800,590400,2024-07-29,2024-07-28
POL-00173,PO-2024-00173,2024-07-22,SUP-09,PRD-0056,WH-LAG1,62,21400,1326800,2024-08-05,2024-08-18
POL-00174,PO-2024-00174,2024-07-22,SUP-17,PRD-0057,WH-LAG1,251,15800,3965800,2024-08-05,2024-08-06
POL-00175,PO-2024-00175,2024-07-22,SUP-01,PRD-0060,WH-IBD,106,47800,5066800,2024-07-29,2024-07-27
POL-00176,PO-2024-00176,2024-07-22,SUP-01,PRD-0060,WH-PHC,121,47800,5783800,2024-07-29,2024-07-28
POL-00177,PO-2024-00177,2024-07-22,SUP-05,PRD-0062,WH-LAG2,100,13600,1360000,2024-07-29,2024-07-30
POL-00178,PO-2024-00178,2024-07-22,SUP-05,PRD-0062,WH-IBD,126,13600,1713600,2024-07-29,2024-07-29
POL-00179,PO-2024-00179,2024-07-22,SUP-13,PRD-0064,WH-IBD,61,30800,1878800,2024-08-05,2024-08-04
POL-00180,PO-2024-00180,2024-07-22,SUP-17,PRD-0072,WH-IBD,36,32600,1173600,2024-08-05,2024-08-12
POL-00181,PO-2024-00181,2024-07-22,SUP-21,PRD-0074,WH-LAG1,185,29400,5439000,2024-08-05,2024-08-05
POL-00182,PO-2024-00182,2024-07-22,SUP-01,PRD-0075,WH-LAG2,27,26800,723600,2024-07-29,2024-07-27
POL-00183,PO-2024-00183,2024-07-22,SUP-13,PRD-0076,WH-LAG1,168,23400,3931200,2024-08-05,2024-08-17
POL-00184,PO-2024-00184,2024-07-22,SUP-13,PRD-0076,WH-LAG2,92,23400,2152800,2024-08-05,2024-08-05
POL-00185,PO-2024-00185,2024-07-22,SUP-09,PRD-0078,WH-IBD,96,27800,2668800,2024-08-05,2024-08-21
POL-00186,PO-2024-00186,2024-07-22,SUP-13,PRD-0080,WH-LAG1,131,19600,2567600,2024-08-05,2024-08-05
POL-00187,PO-2024-00187,2024-07-22,SUP-25,PRD-0081,WH-ABJ,95,32400,3078000,2024-07-29,2024-07-25
POL-00188,PO-2024-00188,2024-07-22,SUP-01,PRD-0083,WH-IBD,103,18400,1895200,2024-07-29,2024-07-27
POL-00189,PO-2024-00189,2024-07-22,SUP-01,PRD-0083,WH-PHC,121,18400,2226400,2024-07-29,2024-07-31
POL-00190,PO-2024-00190,2024-07-22,SUP-13,PRD-0086,WH-LAG1,574,23800,13661200,2024-08-05,2024-08-07
POL-00191,PO-2024-00191,2024-07-22,SUP-13,PRD-0086,WH-LAG2,223,23800,5307400,2024-08-05,2024-08-08
POL-00192,PO-2024-00192,2024-07-22,SUP-13,PRD-0086,WH-PHC,244,23800,5807200,2024-08-05,2024-08-20
POL-00193,PO-2024-00193,2024-07-22,SUP-14,PRD-0091,WH-LAG2,67,21600,1447200,2024-08-12,2024-08-07
POL-00194,PO-2024-00194,2024-07-22,SUP-22,PRD-0098,WH-PHC,122,13400,1634800,2024-08-05,2024-08-01
POL-00195,PO-2024-00195,2024-07-22,SUP-14,PRD-0100,WH-LAG2,262,16800,4401600,2024-08-12,2024-08-11
POL-00196,PO-2024-00196,2024-07-22,SUP-14,PRD-0100,WH-IBD,259,16800,4351200,2024-08-12,2024-08-09
POL-00197,PO-2024-00197,2024-07-22,SUP-14,PRD-0102,WH-IBD,54,14200,766800,2024-08-12,2024-08-10
POL-00198,PO-2024-00198,2024-07-22,SUP-14,PRD-0102,WH-ABJ,105,14200,1491000,2024-08-12,2024-08-09
POL-00199,PO-2024-00199,2024-07-22,SUP-06,PRD-0103,WH-LAG1,152,29800,4529600,2024-08-01,2024-08-01
POL-00200,PO-2024-00200,2024-07-22,SUP-06,PRD-0103,WH-IBD,79,29800,2354200,2024-08-01,2024-07-26
POL-00201,PO-2024-00201,2024-07-22,SUP-02,PRD-0105,WH-LAG2,34,34600,1176400,2024-08-01,2024-07-28
POL-00202,PO-2024-00202,2024-07-22,SUP-22,PRD-0108,WH-LAG1,319,26800,8549200,2024-08-05,2024-07-31
POL-00203,PO-2024-00203,2024-07-22,SUP-06,PRD-0110,WH-IBD,23,24800,570400,2024-08-01,2024-08-01
POL-00204,PO-2024-00204,2024-07-22,SUP-06,PRD-0110,WH-PHC,25,24800,620000,2024-08-01,2024-07-27
POL-00205,PO-2024-00205,2024-07-22,SUP-22,PRD-0114,WH-LAG1,32,12200,390400,2024-08-05,2024-08-04
POL-00206,PO-2024-00206,2024-07-22,SUP-14,PRD-0123,WH-LAG2,75,11600,870000,2024-08-12,2024-08-10
POL-00207,PO-2024-00207,2024-07-22,SUP-10,PRD-0125,WH-LAG2,233,12800,2982400,2024-08-05,2024-08-03
POL-00208,PO-2024-00208,2024-07-22,SUP-10,PRD-0130,WH-ABJ,55,10800,594000,2024-08-05,2024-08-06
POL-00209,PO-2024-00209,2024-07-22,SUP-23,PRD-0133,WH-LAG2,46,23800,1094800,2024-08-05,2024-08-03
POL-00210,PO-2024-00210,2024-07-22,SUP-03,PRD-0136,WH-LAG1,97,42600,4132200,2024-07-29,2024-07-28
POL-00211,PO-2024-00211,2024-07-22,SUP-03,PRD-0136,WH-IBD,70,42600,2982000,2024-07-29,2024-07-30
POL-00212,PO-2024-00212,2024-07-22,SUP-15,PRD-0139,WH-LAG2,82,28800,2361600,2024-08-05,2024-08-02
