CustomerID,CustomerName,Region,City,Phone,CustomerSince
CUS-00112,Nwankwo Trading Co,South-South,Bonny,08121087928,2020-05-04
CUS-00113,Magaji Mart,South-West,Ogbomoso,08153112268,2023-11-04
CUS-00114,Ikorodu Ventures,South-West,Abeokuta,09032366682,2020-07-20
CUS-00115,Suleiman Trading Co,South-West,Abeokuta,09046850196,2020-10-31
CUS-00116,Obio-Akpor Superstores,South-South,Calabar,08178865239,2019-12-05
CUS-00117,Adebayo Mart,North-Central,Makurdi,09014670638,2023-09-17
CUS-00118,Agege Trading Co,South-West,Mushin,07091214453,2023-07-23
CUS-00119,Jabi Ventures,North-Central,Garki,08081062902,2022-05-12
CUS-00120,Yaba Stores,South-West,Ikeja,08076980546,2021-07-07
CUS-00121,Ikorodu Wholesale,South-West,Badagry,09038799154,2020-12-26
CUS-00122,Ibadan North Provisions,South-West,Lekki,08019939096,2021-11-19
CUS-00123,Lekki Superstores,South-West,Alimosho,08199635939,2022-06-21
CUS-00124,Olawale Wholesale,North-Central,Gwarinpa,08058518659,2021-07-26
CUS-00125,Oshodi Mart,South-West,Yaba,09013527782,2022-05-24
CUS-00126,Danjuma Hotel,North-Central,Gwarinpa,07018824561,2022-09-07
CUS-00127,Ibadan North Hotel,South-West,Mushin,09087161840,2024-01-02
CUS-00128,Adewale Ventures,South-West,Ibadan North,08127224779,2019-06-30
CUS-00129,Sapele Mart,South-South,Eleme,09077493234,2019-04-24
CUS-00130,Bonny Mart,South-South,Asaba,08031738837,2022-08-11
CUS-00131,Nnaji Wholesale,South-South,Obio-Akpor,08136347197,2020-11-09
CUS-00132,Sani Wholesale,South-South,Sapele,07077454225,2020-10-28
CUS-00133,Surulere Mart,South-West,Epe,08185647532,2024-03-09
CUS-00134,Okonkwo Superstores,South-South,Sapele,08197393186,2023-03-28
CUS-00135,Sani Supermarket,South-South,Yenagoa,08196155337,2019-01-20
CUS-00136,Danjuma Superstores,South-West,Mushin,08170873663,2024-01-04
CUS-00137,Uba Ventures,North-Central,Minna,08055659873,2021-01-06
CUS-00138,Agege Foods,South-West,Alimosho,08163514837,2023-09-08
CUS-00139,Akinola Trading Co,South-South,Warri,09026444612,2022-12-02
CUS-00140,Adeleke Wholesale,South-West,Mushin,09043322272,2019-07-26
CUS-00141,Sapele Foods,South-South,Uyo,08031386576,2021-08-16
CUS-00142,Salami Ventures,South-South,Port Harcourt,07062780072,2021-08-01
CUS-00143,Bello Trading Co,South-West,Ikeja,07047763008,2021-08-23
CUS-00144,Minna Wholesale,North-Central,Jos,07024428014,2022-01-01
CUS-00145,Chukwu Cash & Carry,South-West,Agege,07063765155,2024-02-18
CUS-00146,Musa Wholesale,North-Central,Garki,09077680031,2021-11-22
CUS-00147,Usman Superstores,South-South,Sapele,07027268907,2023-11-16
CUS-00148,Agege Hotel,South-West,Agege,08036717096,2021-01-15
CUS-00149,Okonkwo Supermarket,North-Central,Gwarinpa,08173584863,2021-07-04
CUS-00150,Ogbomoso Mart,South-West,Agege,08131810655,2022-03-20
CUS-00151,Asaba Enterprises,South-South,Uyo,09085554415,2022-09-27
CUS-00152,Eze Superstores,South-West,Lekki,09088343175,2022-09-10
CUS-00153,Port Harcourt Enterprises,South-South,Yenagoa,08197991930,2020-01-11
CUS-00154,Warri Foods,South-South,Port Harcourt,09032885741,2021-06-24
CUS-00155,Lokoja Mart,North-Central,Kubwa,07086849080,2019-02-07
CUS-00156,Uche Trading Co,North-Central,Lokoja,08065426567,2020-07-18
CUS-00157,Usman Ventures,South-West,Alimosho,07028533117,2021-07-05
CUS-00158,Ibrahim Ventures,South-West,Ogbomoso,09052111160,2019-01-20
CUS-00159,Agege Hotel,South-West,Agege,08191883092,2021-09-14
CUS-00160,Musa Wholesale,South-West,Yaba,08148789478,2020-06-19
CUS-00161,Agege Ventures,South-West,Agege,08148626436,2023-09-26
CUS-00162,Obi Trading Co,North-Central,Gwarinpa,08115646068,2022-10-21
CUS-00163,Uche Superstores,South-South,Asaba,09038720823,2023-04-15
CUS-00164,Musa Foods,South-South,Asaba,08024660143,2020-12-19
CUS-00165,Adeleke Superstores,North-Central,Jos,08095623471,2023-02-11
CUS-00166,Haruna Ventures,South-West,Lekki,08010695441,2021-05-01
CUS-00167,Yakubu Ventures,South-South,Yenagoa,08048553376,2022-08-14
CUS-00168,Yusuf Stores,South-West,Epe,08081826922,2020-04-11
CUS-00169,Gwarinpa Cash & Carry,North-Central,Gwarinpa,07063283709,2020-01-01
CUS-00170,Alimosho Wholesale,South-West,Ikeja,07050049524,2021-03-26
CUS-00171,Jabi Wholesale,North-Central,Minna,09028012011,2019-08-25
CUS-00172,Danjuma Stores,North-Central,Jabi,08071594457,2020-10-13
CUS-00173,Mohammed Trading Co,South-West,Oshodi,08186206305,2020-08-20
CUS-00174,Sani Cash & Carry,North-Central,Lokoja,08121641746,2022-03-04
CUS-00175,Balogun Ventures,North-Central,Jabi,08010916723,2022-12-15
CUS-00176,Oladipo Trading Co,South-West,Ikorodu,07045105069,2020-10-02
CUS-00177,Ibrahim Stores,South-West,Ibadan North,08131436829,2022-02-22
CUS-00178,Lugbe Foods,North-Central,Garki,08159330907,2020-12-21
CUS-00179,Ibadan North Mart,South-West,Ibadan North,08165813853,2020-06-25
CUS-00180,Ugwu Superstores,North-Central,Kubwa,08089968863,2019-07-10
CUS-00181,Nnaji Foods,South-South,Uyo,07085721444,2023-10-16
CUS-00182,Orji Provisions,South-West,Abeokuta,08032083803,2022-07-31
CUS-00183,Abubakar Provisions,South-South,Sapele,09022205980,2019-05-19
CUS-00184,Minna Mart,North-Central,Jos,09071310453,2021-04-04
CUS-00185,Danjuma Wholesale,South-West,Badagry,07063143336,2022-12-28
CUS-00186,Sapele Stores,South-South,Port Harcourt,09056241881,2020-06-28
CUS-00187,Lekki Ventures,South-West,Ikeja,08164877191,2023-05-30
CUS-00188,Calabar Trading Co,South-South,Calabar,09060666702,2022-04-24
CUS-00189,Alimosho Hotel,South-West,Surulere,08125922674,2023-06-02
CUS-00190,Balogun Foods,South-South,Warri,07013051483,2022-09-29
CUS-00191,Mushin Hotel,South-West,Mushin,08043220503,2021-11-01
CUS-00192,Suleiman Stores,South-West,Ikeja,09092533595,2020-02-15
CUS-00193,Warri Provisions,South-South,Obio-Akpor,07089717834,2024-03-25
CUS-00194,Alimosho Supermarket,South-West,Yaba,07063991141,2021-12-16
CUS-00195,Yusuf Supermarket,South-West,Surulere,08141428626,2019-11-05
CUS-00196,Sapele Enterprises,South-South,Uyo,08050502136,2019-07-04
CUS-00197,Yaba Cash & Carry,South-West,Ikorodu,08118181595,2021-04-18
CUS-00198,Eleme Superstores,South-South,Calabar,09016292676,2022-06-27
CUS-00199,Bonny Trading Co,South-South,Calabar,09030027648,2022-09-26
CUS-00200,Ibadan North Provisions,South-West,Alimosho,08050364158,2019-08-11
CUS-00201,Wuse Hotel,North-Central,Lokoja,09084797762,2021-06-12
CUS-00202,Makinde Trading Co,South-West,Epe,07070369365,2019-09-02
CUS-00203,Rabiu Provisions,South-West,Ikeja,08160622628,2020-08-22
CUS-00204,Adewale Provisions,North-Central,Makurdi,08074343201,2023-04-01
CUS-00205,Adeyemi Provisions,South-South,Warri,07074279671,2019-04-17
CUS-00206,Yaba Cash & Carry,South-West,Yaba,08147991562,2022-04-14
CUS-00207,Ikorodu Wholesale,South-West,Agege,09072546007,2023-11-13
CUS-00208,Uyo Provisions,South-South,Uyo,08165556767,2024-02-29
CUS-00209,Dada Supermarket,North-Central,Lugbe,09049620038,2023-07-25
CUS-00210,Aliyu Provisions,South-West,Ibadan North,08144537812,2020-02-20
CUS-00211,Yenagoa Ventures,South-South,Eleme,08132718459,2023-08-20
CUS-00212,Ugwu Superstores,North-Central,Wuse,07019976458,2019-02-13
CUS-00213,Adeyemi Cash & Carry,South-South,Eleme,08019122502,2020-06-14
CUS-00214,Igwe Trading Co,South-West,Ikeja,09098487646,2021-09-06
CUS-00215,Uba Supermarket,South-West,Ikeja,08181905550,2022-10-23
CUS-00216,Epe Cash & Carry,South-West,Oshodi,08024363501,2019-04-09
CUS-00217,Lawal Enterprises,South-West,Ogbomoso,08157572279,2022-12-02
CUS-00218,Obi Ventures,South-South,Sapele,08040314047,2022-09-26
CUS-00219,Wuse Stores,North-Central,Lokoja,09060622842,2021-04-27
CUS-00220,Badagry Mart,South-West,Lekki,09068238367,2020-10-20
CUS-00221,Obio-Akpor Hotel,South-South,Port Harcourt,08038375916,2019-05-14
CUS-00222,Yenagoa Wholesale,South-South,Port Harcourt,07047631028,2019-05-18
CUS-00223,Gwarinpa Trading Co,North-Central,Wuse,08088790652,2023-08-11
CUS-00224,Lokoja Stores,North-Central,Lugbe,08085693188,2023-01-26
CUS-00225,Jos Trading Co,North-Central,Lokoja,08020526386,2021-08-11
CUS-00226,Akinola Cash & Carry,North-Central,Kubwa,07055713584,2021-01-09
CUS-00227,Calabar Trading Co,South-South,Port Harcourt,08170471823,2021-09-01
CUS-00228,Mushin Cash & Carry,South-West,Surulere,09021501669,2020-02-02
CUS-00229,Garki Stores,North-Central,Lugbe,08061002735,2020-06-05
CUS-00230,Nwachukwu Trading Co,South-South,Uyo,07022283664,2024-05-22
CUS-00231,Hassan Wholesale,South-South,Obio-Akpor,08021716836,2023-05-15
CUS-00232,Ogbomoso Cash & Carry,South-West,Lekki,07022028437,2022-06-08
CUS-00233,Jabi Cash & Carry,North-Central,Wuse,08165540647,2022-03-30
CUS-00234,Bonny Provisions,South-South,Sapele,08061100987,2023-06-20
CUS-00235,Nwankwo Mart,South-West,Lekki,08068341261,2022-11-14
CUS-00236,Adewale Trading Co,South-West,Ikorodu,08093890601,2021-08-21
CUS-00237,Akinola Mart,North-Central,Lugbe,07063108878,2022-07-22
CUS-00238,Eze Ventures,South-South,Uyo,09097380687,2021-01-31
CUS-00239,Abdullahi Provisions,South-West,Ibadan North,08133842070,2022-03-09
CUS-00240,Abdullahi Superstores,South-South,Yenagoa,08053739710,2022-04-23
CUS-00241,Agege Stores,South-West,Abeokuta,08089487366,2021-05-11
CUS-00242,Ikeja Foods,South-West,Ibadan North,08068848427,2019-12-12
CUS-00243,Alimosho Cash & Carry,South-West,Epe,09028680305,2020-11-12
CUS-00244,Dada Foods,South-West,Mushin,09019927432,2021-11-25
CUS-00245,Obi Hotel,South-South,Bonny,09082966824,2024-03-18
CUS-00246,Danjuma Hotel,South-South,Sapele,07024679315,2020-02-09
CUS-00247,Surulere Superstores,South-West,Abeokuta,07085594147,2020-10-19
CUS-00248,Hassan Trading Co,North-Central,Lokoja,07011415698,2023-11-13
CUS-00249,Nnaji Hotel,South-West,Abeokuta,08069831384,2022-04-27
CUS-00250,Abeokuta Foods,South-West,Ogbomoso,08056300738,2024-04-12
CUS-00251,Afolabi Stores,South-West,Alimosho,08056751880,2022-09-02
CUS-00252,Ogbomoso Ventures,South-West,Agege,09023102741,2021-12-17
CUS-00253,Adewale Wholesale,North-Central,Wuse,07013031322,2019-08-28
CUS-00254,Danjuma Mart,South-West,Badagry,08079255529,2023-06-10
CUS-00255,Onyekachi Ventures,North-Central,Kubwa,09094524999,2023-05-21
CUS-00256,Mushin Supermarket,South-West,Badagry,08070340936,2021-02-05
CUS-00257,Makinde Provisions,South-West,Ikorodu,07087490324,2023-11-06
CUS-00258,Chukwu Trading Co,South-South,Warri,09025294777,2022-12-12
CUS-00259,Sani Trading Co,North-Central,Makurdi,09092048427,2022-03-21
CUS-00260,Igwe Enterprises,North-Central,Gwarinpa,08192474715,2021-02-09
CUS-00261,Adesanya Provisions,South-West,Ikorodu,07034567819,2022-04-29
CUS-00262,Uba Enterprises,North-Central,Gwarinpa,09066779304,2023-05-18
CUS-00263,Yakubu Mart,South-West,Ogbomoso,08075718640,2022-10-19
CUS-00264,Uche Enterprises,South-West,Ikeja,08111286267,2021-09-13
CUS-00265,Ogbomoso Hotel,South-West,Epe,09064913082,2020-07-30
CUS-00266,Ibadan North Ventures,South-West,Surulere,07085886408,2024-03-30
CUS-00267,Okonkwo Wholesale,South-South,Warri,08132576626,2020-01-16
CUS-00268,Oshodi Ventures,South-West,Ogbomoso,07086868379,2023-10-12
CUS-00269,Chukwu Hotel,South-West,Alimosho,07069239219,2021-05-10
CUS-00270,Mohammed Superstores,South-West,Oshodi,08049957816,2019-07-07
CUS-00271,Nwosu Stores,South-South,Yenagoa,07041802361,2023-03-30
CUS-00272,Uyo Foods,South-South,Sapele,09032277675,2020-12-18
CUS-00273,Makinde Supermarket,South-West,Abeokuta,08181441519,2022-11-04
CUS-00274,Haruna Wholesale,North-Central,Lugbe,08179043610,2019-05-16
CUS-00275,Hassan Cash & Carry,North-Central,Wuse,08198032908,2023-09-16
CUS-00276,Dada Foods,North-Central,Jabi,08062707402,2021-09-03
CUS-00277,Epe Cash & Carry,South-West,Mushin,09020135622,2020-11-12
CUS-00278,Calabar Hotel,South-South,Asaba,08171028216,2019-02-02
CUS-00279,Alimosho Foods,South-West,Lekki,09095206855,2020-09-10
CUS-00280,Jos Cash & Carry,North-Central,Kubwa,09038434222,2021-08-23
CUS-00281,Agege Hotel,South-West,Abeokuta,08085986307,2019-08-22
CUS-00282,Abubakar Supermarket,South-West,Ikeja,07094044392,2020-01-09
CUS-00283,Fashola Ventures,South-South,Yenagoa,07067418250,2023-04-14
CUS-00284,Asaba Mart,South-South,Asaba,07097857309,2022-05-25
CUS-00285,Yakubu Mart,South-West,Ikeja,09093967184,2022-09-15
CUS-00286,Lokoja Superstores,North-Central,Garki,07010145801,2023-03-22
CUS-00287,Ogunleye Hotel,South-West,Epe,09011246473,2024-05-16
CUS-00288,Lokoja Foods,North-Central,Gwarinpa,09019506414,2023-02-19
CUS-00289,Lekki Stores,South-West,Agege,08150165370,2023-08-26
CUS-00290,Alimosho Mart,South-West,Epe,08019182050,2021-06-11
CUS-00291,Gwarinpa Ventures,North-Central,Jabi,08094299475,2020-03-22
CUS-00292,Abubakar Ventures,South-West,Alimosho,08021635070,2019-05-23
CUS-00293,Abeokuta Foods,South-West,Mushin,08167631581,2022-08-27
CUS-00294,Yakubu Stores,South-South,Warri,08113600310,2019-08-31
CUS-00295,Warri Hotel,South-South,Sapele,08062579931,2022-10-05
CUS-00296,Kubwa Ventures,North-Central,Lokoja,07042357445,2021-08-13
CUS-00297,Adeyemi Trading Co,North-Central,Jabi,08061920550,2019-08-05
CUS-00298,Ugwu Superstores,South-South,Eleme,09019796799,2024-04-28
CUS-00299,Makinde Supermarket,North-Central,Wuse,09077996124,2022-10-24
CUS-00300,Uba Cash & Carry,North-Central,Lokoja,07095971459,2021-05-30
CUS-00301,Afolabi Wholesale,North-Central,Garki,08030854365,2021-05-30
CUS-00302,Oshodi Superstores,South-West,Epe,07051630244,2020-07-02
CUS-00303,Yaba Supermarket,South-West,Yaba,07068315400,2023-10-08
CUS-00304,Ikorodu Superstores,South-West,Badagry,08026031369,2024-05-07
CUS-00305,Gwarinpa Ventures,North-Central,Jabi,08132409388,2022-05-02
CUS-00306,Ikorodu Foods,South-West,Lekki,07054964418,2019-11-23
CUS-00307,Okorie Foods,South-West,Abeokuta,07076591799,2021-11-12
CUS-00308,Aliyu Mart,North-Central,Jabi,08044241100,2020-01-31
CUS-00309,Badagry Stores,South-West,Yaba,07015910667,2019-08-09
CUS-00310,Anyanwu Trading Co,South-South,Calabar,08034019729,2019-03-13
CUS-00311,Danjuma Foods,South-South,Calabar,08053191535,2023-01-10
CUS-00312,Ikorodu Stores,South-West,Abeokuta,08126025721,2021-08-08
CUS-00313,Ogunleye Hotel,North-Central,Wuse,09019251149,2019-07-02
CUS-00314,Salami Trading Co,South-West,Lekki,09011069604,2022-05-08
CUS-00315,Ikorodu Foods,South-West,Abeokuta,08072267186,2022-05-09
CUS-00316,Yusuf Provisions,North-Central,Jos,08030208677,2024-05-19
CUS-00317,Ugwu Trading Co,South-South,Port Harcourt,08110196231,2020-02-29
CUS-00318,Lugbe Stores,North-Central,Kubwa,08066346728,2021-08-29
CUS-00319,Eleme Foods,South-South,Asaba,07015892193,2019-04-03
CUS-00320,Mushin Foods,South-West,Agege,09021395409,2021-02-28
CUS-00321,Magaji Cash & Carry,South-West,Lekki,07068382413,2020-09-14
CUS-00322,Okorie Trading Co,South-South,Calabar,08152688984,2021-11-17
CUS-00323,Lawal Mart,South-West,Oshodi,07030858851,2023-10-29
CUS-00324,Uba Stores,South-West,Ogbomoso,08137868462,2021-11-19
CUS-00325,Adesanya Stores,South-West,Surulere,08190973889,2024-03-11
CUS-00326,Surulere Stores,South-West,Badagry,08057746984,2022-03-13
CUS-00327,Lugbe Mart,North-Central,Wuse,09070693413,2021-04-20
CUS-00328,Igwe Stores,North-Central,Gwarinpa,07011604831,2024-01-27
CUS-00329,Eleme Provisions,South-South,Calabar,08194597104,2019-02-28
CUS-00330,Lugbe Stores,North-Central,Wuse,07036541600,2019-05-11
CUS-00331,Garki Trading Co,North-Central,Garki,07071873691,2024-02-19
CUS-00332,Alimosho Foods,South-West,Mushin,09013957046,2022-04-10
CUS-00333,Makinde Mart,North-Central,Lugbe,08169862640,2019-06-19
CUS-00334,Abeokuta Provisions,South-West,Epe,08176960098,2022-02-09
CUS-00335,Afolabi Wholesale,South-South,Calabar,08066268745,2023-04-20
CUS-00336,Kubwa Superstores,North-Central,Jos,07061338023,2020-01-13
CUS-00337,Idris Ventures,North-Central,Jabi,08162127652,2022-11-26
CUS-00338,Ogunleye Supermarket,South-West,Oshodi,08117863981,2019-11-19
CUS-00339,Yusuf Enterprises,South-South,Warri,08023439803,2023-01-11
CUS-00340,Magaji Foods,North-Central,Wuse,08087268086,2019-09-03
CUS-00341,Rabiu Mart,South-South,Eleme,08089526622,2022-08-20
CUS-00342,Sapele Supermarket,South-South,Uyo,08085579195,2019-02-06
CUS-00343,Ibadan North Hotel,South-West,Ikorodu,08075825262,2024-03-16
CUS-00344,Ogunleye Supermarket,South-West,Ogbomoso,09010091737,2022-07-23
CUS-00345,Balogun Trading Co,South-South,Eleme,08117993466,2024-04-18
CUS-00346,Surulere Stores,South-West,Alimosho,08119735027,2022-04-28
CUS-00347,Makurdi Stores,North-Central,Jabi,08153299069,2023-08-27
CUS-00348,Calabar Superstores,South-South,Yenagoa,08133381086,2020-06-14
CUS-00349,Sapele Trading Co,South-South,Warri,08060785855,2022-09-12
CUS-00350,Gbadamosi Foods,North-Central,Wuse,09086166246,2024-03-27
CUS-00351,Danjuma Enterprises,South-West,Yaba,07076596831,2023-08-18
CUS-00352,Nwosu Trading Co,South-West,Surulere,07099929175,2020-11-01
CUS-00353,Adeyemi Wholesale,North-Central,Kubwa,08019099261,2022-06-15
CUS-00354,Adeyemi Supermarket,South-West,Mushin,09066324902,2023-06-27
CUS-00355,Nwachukwu Trading Co,South-South,Bonny,09023613510,2019-10-09
CUS-00356,Epe Superstores,South-West,Yaba,08070570772,2024-01-03
CUS-00357,Adebayo Trading Co,South-South,Asaba,07019959009,2022-07-02
CUS-00358,Suleiman Stores,South-West,Ogbomoso,07055358959,2021-02-01
CUS-00359,Port Harcourt Cash & Carry,South-South,Eleme,09031086112,2024-02-13
CUS-00360,Lawal Cash & Carry,South-West,Badagry,08198663948,2022-11-03
