TransferID,TransferDate,ProductID,FromWarehouse,ToWarehouse,Qty,TransitDays
TRF-00101,2025-06-13,PRD-0145,WH-LAG1,WH-PHC,27,2
TRF-00102,2025-06-15,PRD-0043,WH-PHC,WH-LAG2,16,2
TRF-00103,2025-06-21,PRD-0053,WH-LAG1,WH-IBD,13,2
TRF-00104,2025-06-24,PRD-0076,WH-LAG1,WH-ABJ,49,2
TRF-00105,2025-06-25,PRD-0031,WH-LAG1,WH-ABJ,35,3
TRF-00106,2025-06-28,PRD-0055,WH-LAG1,WH-ABJ,23,2
TRF-00107,2025-07-04,PRD-0049,WH-LAG1,WH-PHC,24,3
TRF-00108,2025-07-16,PRD-0084,WH-LAG2,WH-IBD,34,2
TRF-00109,2025-07-21,PRD-0170,WH-LAG1,WH-ABJ,26,3
TRF-00110,2025-07-22,PRD-0067,WH-LAG1,WH-LAG2,35,3
TRF-00111,2025-08-03,PRD-0123,WH-LAG1,WH-LAG2,14,2
TRF-00112,2025-08-06,PRD-0023,WH-LAG1,WH-PHC,29,2
TRF-00113,2025-08-13,PRD-0111,WH-IBD,WH-PHC,27,2
TRF-00114,2025-08-16,PRD-0150,WH-LAG1,WH-PHC,39,2
TRF-00115,2025-08-17,PRD-0163,WH-LAG1,WH-LAG2,28,2
TRF-00116,2025-08-18,PRD-0007,WH-LAG1,WH-ABJ,55,2
TRF-00117,2025-08-19,PRD-0023,WH-LAG1,WH-LAG2,21,2
TRF-00118,2025-08-21,PRD-0166,WH-LAG1,WH-PHC,92,2
TRF-00119,2025-08-24,PRD-0086,WH-ABJ,WH-PHC,74,2
TRF-00120,2025-08-25,PRD-0031,WH-ABJ,WH-PHC,47,2
TRF-00121,2025-08-29,PRD-0142,WH-LAG1,WH-IBD,60,2
TRF-00122,2025-08-30,PRD-0167,WH-LAG2,WH-IBD,16,3
TRF-00123,2025-09-09,PRD-0089,WH-IBD,WH-LAG1,11,2
TRF-00124,2025-09-10,PRD-0134,WH-PHC,WH-IBD,12,3
TRF-00125,2025-09-13,PRD-0033,WH-LAG1,WH-LAG2,22,3
TRF-00126,2025-09-14,PRD-0056,WH-LAG1,WH-PHC,22,2
TRF-00127,2025-09-16,PRD-0005,WH-ABJ,WH-LAG1,23,2
TRF-00128,2025-09-17,PRD-0012,WH-ABJ,WH-LAG1,11,2
TRF-00129,2025-09-18,PRD-0031,WH-LAG1,WH-IBD,35,3
TRF-00130,2025-09-24,PRD-0130,WH-LAG2,WH-LAG1,12,2
TRF-00131,2025-09-26,PRD-0025,WH-ABJ,WH-LAG2,17,2
TRF-00132,2025-10-01,PRD-0023,WH-IBD,WH-ABJ,23,3
TRF-00133,2025-10-03,PRD-0037,WH-IBD,WH-LAG1,26,3
TRF-00134,2025-10-04,PRD-0132,WH-ABJ,WH-IBD,17,2
TRF-00135,2025-10-06,PRD-0079,WH-LAG1,WH-LAG2,16,2
TRF-00136,2025-10-07,PRD-0034,WH-LAG1,WH-LAG2,10,3
TRF-00137,2025-10-09,PRD-0068,WH-LAG1,WH-IBD,40,3
TRF-00138,2025-10-13,PRD-0116,WH-PHC,WH-LAG2,18,3
TRF-00139,2025-10-18,PRD-0018,WH-LAG1,WH-IBD,35,3
TRF-00140,2025-10-20,PRD-0126,WH-LAG1,WH-LAG2,30,2
TRF-00141,2025-10-21,PRD-0151,WH-ABJ,WH-LAG2,173,2
TRF-00142,2025-10-24,PRD-0035,WH-LAG1,WH-LAG2,23,3
TRF-00143,2025-10-26,PRD-0072,WH-LAG1,WH-IBD,13,2
TRF-00144,2025-10-28,PRD-0170,WH-LAG2,WH-PHC,20,2
TRF-00145,2025-10-29,PRD-0065,WH-LAG1,WH-PHC,31,3
TRF-00146,2025-11-01,PRD-0072,WH-IBD,WH-PHC,10,3
TRF-00147,2025-11-02,PRD-0167,WH-LAG1,WH-PHC,17,2
TRF-00148,2025-11-05,PRD-0163,WH-LAG2,WH-LAG1,20,2
TRF-00149,2025-11-06,PRD-0061,WH-LAG1,WH-LAG2,48,2
TRF-00150,2025-11-09,PRD-0068,WH-LAG1,WH-ABJ,69,3
TRF-00151,2025-11-13,PRD-0155,WH-LAG2,WH-PHC,14,3
TRF-00152,2025-11-18,PRD-0036,WH-LAG1,WH-PHC,12,2
TRF-00153,2025-11-19,PRD-0055,WH-LAG1,WH-LAG2,17,2
TRF-00154,2025-11-20,PRD-0170,WH-ABJ,WH-IBD,17,3
TRF-00155,2025-11-21,PRD-0124,WH-ABJ,WH-LAG2,19,2
TRF-00156,2025-11-23,PRD-0152,WH-LAG1,WH-LAG2,18,3
TRF-00157,2025-11-24,PRD-0076,WH-LAG1,WH-IBD,39,2
TRF-00158,2025-11-27,PRD-0117,WH-LAG1,WH-ABJ,27,2
TRF-00159,2025-11-28,PRD-0148,WH-LAG1,WH-PHC,15,3
TRF-00160,2025-11-29,PRD-0017,WH-ABJ,WH-LAG2,18,2
TRF-00161,2025-12-02,PRD-0061,WH-LAG2,WH-PHC,48,2
TRF-00162,2025-12-03,PRD-0126,WH-LAG1,WH-LAG2,14,3
TRF-00163,2025-12-10,PRD-0128,WH-IBD,WH-ABJ,18,2
TRF-00164,2025-12-11,PRD-0083,WH-LAG1,WH-ABJ,59,2
TRF-00165,2025-12-15,PRD-0130,WH-LAG1,WH-LAG2,19,3
TRF-00166,2025-12-18,PRD-0151,WH-LAG1,WH-LAG2,290,3
TRF-00167,2025-12-23,PRD-0152,WH-IBD,WH-LAG1,12,2
TRF-00168,2025-12-27,PRD-0139,WH-PHC,WH-IBD,15,3
TRF-00169,2025-12-29,PRD-0120,WH-LAG1,WH-LAG2,41,2
TRF-00170,2025-12-31,PRD-0153,WH-LAG1,WH-LAG2,99,3
TRF-00171,2026-01-01,PRD-0024,WH-LAG1,WH-LAG2,16,2
TRF-00172,2026-01-07,PRD-0081,WH-LAG1,WH-LAG2,27,2
TRF-00173,2026-01-09,PRD-0011,WH-LAG1,WH-IBD,33,2
TRF-00174,2026-01-12,PRD-0070,WH-PHC,WH-IBD,12,3
TRF-00175,2026-01-13,PRD-0166,WH-LAG1,WH-LAG2,67,3
TRF-00176,2026-01-15,PRD-0074,WH-LAG1,WH-IBD,46,2
TRF-00177,2026-01-24,PRD-0021,WH-PHC,WH-ABJ,16,2
TRF-00178,2026-01-27,PRD-0109,WH-ABJ,WH-IBD,33,2
TRF-00179,2026-01-31,PRD-0064,WH-LAG1,WH-PHC,59,2
TRF-00180,2026-02-02,PRD-0140,WH-LAG1,WH-LAG2,17,3
TRF-00181,2026-02-03,PRD-0074,WH-LAG1,WH-LAG2,31,3
TRF-00182,2026-02-05,PRD-0017,WH-ABJ,WH-LAG1,14,2
TRF-00183,2026-02-09,PRD-0136,WH-IBD,WH-LAG2,13,2
TRF-00184,2026-02-15,PRD-0164,WH-IBD,WH-ABJ,16,2
TRF-00185,2026-02-16,PRD-0043,WH-LAG1,WH-LAG2,21,3
TRF-00186,2026-02-25,PRD-0015,WH-PHC,WH-LAG2,13,2
TRF-00187,2026-02-27,PRD-0075,WH-LAG1,WH-IBD,16,2
TRF-00188,2026-03-01,PRD-0082,WH-ABJ,WH-IBD,29,3
TRF-00189,2026-03-07,PRD-0090,WH-PHC,WH-ABJ,243,2
TRF-00190,2026-03-08,PRD-0018,WH-LAG1,WH-PHC,71,2
TRF-00191,2026-03-12,PRD-0150,WH-LAG1,WH-LAG2,34,2
TRF-00192,2026-03-15,PRD-0005,WH-LAG1,WH-IBD,28,2
TRF-00193,2026-03-19,PRD-0124,WH-LAG1,WH-IBD,17,2
TRF-00194,2026-03-26,PRD-0058,WH-LAG1,WH-ABJ,30,2
TRF-00195,2026-03-29,PRD-0049,WH-LAG1,WH-LAG2,20,2
TRF-00196,2026-03-31,PRD-0012,WH-LAG2,WH-ABJ,13,2
TRF-00197,2026-04-02,PRD-0132,WH-LAG1,WH-PHC,20,2
TRF-00198,2026-04-08,PRD-0047,WH-IBD,WH-LAG1,15,3
TRF-00199,2026-04-09,PRD-0118,WH-LAG1,WH-IBD,64,3
TRF-00200,2026-04-12,PRD-0085,WH-LAG1,WH-IBD,23,3
TRF-00201,2026-04-17,PRD-0054,WH-LAG1,WH-PHC,13,2
TRF-00202,2026-04-18,PRD-0028,WH-LAG1,WH-ABJ,17,3
TRF-00203,2026-04-22,PRD-0017,WH-LAG1,WH-LAG2,11,2
TRF-00204,2026-04-28,PRD-0025,WH-LAG1,WH-PHC,17,2
TRF-00205,2026-04-29,PRD-0132,WH-PHC,WH-IBD,18,2
TRF-00206,2026-05-05,PRD-0026,WH-ABJ,WH-IBD,19,2
TRF-00207,2026-05-09,PRD-0070,WH-LAG1,WH-LAG2,12,2
TRF-00208,2026-05-11,PRD-0009,WH-LAG1,WH-IBD,16,2
TRF-00209,2026-05-18,PRD-0126,WH-LAG1,WH-PHC,14,3
TRF-00210,2026-05-20,PRD-0005,WH-LAG1,WH-LAG2,24,2
TRF-00211,2026-05-21,PRD-0163,WH-LAG1,WH-ABJ,19,3
TRF-00212,2026-05-22,PRD-0169,WH-LAG1,WH-LAG2,24,2
TRF-00213,2026-05-24,PRD-0134,WH-LAG2,WH-IBD,10,2
TRF-00214,2026-05-25,PRD-0089,WH-LAG1,WH-PHC,17,2
TRF-00215,2026-05-27,PRD-0017,WH-ABJ,WH-LAG1,12,2
TRF-00216,2026-06-01,PRD-0162,WH-ABJ,WH-IBD,14,3
TRF-00217,2026-06-13,PRD-0028,WH-PHC,WH-ABJ,11,2
TRF-00218,2026-06-14,PRD-0127,WH-LAG1,WH-IBD,27,3
TRF-00219,2026-06-15,PRD-0090,WH-IBD,WH-LAG2,233,2
TRF-00220,2026-06-19,PRD-0120,WH-LAG1,WH-PHC,40,2
TRF-00221,2026-06-25,PRD-0035,WH-LAG1,WH-PHC,41,2
TRF-00222,2026-06-29,PRD-0077,WH-ABJ,WH-PHC,78,3
