OrderID,OrderDate,CustomerID,ProductID,ProductName,Quantity,UnitPrice,LineTotal
ORD-2024-000456,07/07/2024,CUS-01575,PRD-0146,Nivea Roll-On 50ml x24,14,34820,487480
ORD-2024-000458,07/07/2024,CUS-00526,PRD-0160,Safeguard Soap 175g x48,4,32940,131760
ORD-2024-000461,08/07/2024,CUS-00655,PRD-0004,Pepsi 50cl PET x12  ,2,4490,8980
ORD-2024-000467,08/07/2024,CUS-00960,PRD-0038,Hi-Malt 33cl x24,10,15680,156800
ORD-2024-000487,08/07/2024,CUS-02107,PRD-0090,Dano Milk Refill 360g x12,14,37690,527660
ORD-2024-000496,08/07/2024,CUS-00954,PRD-0100,Jik Bleach 500ml x24,7,20780,145460
ORD-2024-000499,08/07/2024,CUS-01509,PRD-0103,Dettol Liquid 500ml x12,15,38480,577200
ORD-2024-000508,08/07/2024,CUS-01289,PRD-0121,Mop & Bucket Set x6,5,26430,132150
ORD-2024-000516,08/07/2024,CUS-00060,PRD-0135,Lux Soap 170g x48  ,3,32900,98700
ORD-2024-000517,08/07/2024,CUS-01132,PRD-0136,Dove Beauty Bar 135g x48,3,54950,164850
ORD-2024-000520,08/07/2024,CUS-01902,PRD-0143,Jergens Lotion 400ml x12,5,48640,243200
ORD-2024-000529,08/07/2024,CUS-01402,PRD-0156,ORS Relaxer Kit x12,11,58570,644270
ORD-2024-000537,08/07/2024,CUS-00874,PRD-0166,Aboniki Balm 25g x48,4,25650,102600
ORD-2024-000546,09/07/2024,CUS-02147,PRD-0011,Maltina Can 33cl x24,12,17170,206040
ORD-2024-000550,09/07/2024,CUS-01002,PRD-0031,Power Horse 25cl x24  ,5,36660,183300
ORD-2024-000553,09/07/2024,CUS-00122,PRD-0039,Grand Malt 33cl x24,12,14770,177240
ORD-2024-000559,09/07/2024,CUS-00087,PRD-0074,Semovita 2kg x10,1,38390,38390
ORD-2024-000562,09/07/2024,CUS-00004,PRD-0079,Golden Morn 900g x10,24,46870,1124880
ORD-2024-000567,09/07/2024,CUS-02147,PRD-0090,Dano Milk Refill 360g x12,18,37690,678420
ORD-2024-000570,09/07/2024,CUS-01026,PRD-0096,So Klin White 900g x12,4,23060,92240
ORD-2024-000571,09/07/2024,CUS-01734,PRD-0098,Mama Lemon 750ml x12,2,15320,30640
ORD-2024-000580,09/07/2024,CUS-01452,PRD-0118,Duck Toilet Gel 500ml x12,1,23110,23110
ORD-2024-000588,09/07/2024,CUS-01908,PRD-0125,Insecticide Coil 10pk x30,4,15380,61520
ORD-2024-000593,09/07/2024,CUS-01188,PRD-0137,Premier Cool Soap 175g x48,8,27650,221200
ORD-2024-000594,09/07/2024,CUS-02204,PRD-0139,Dudu Osun Black Soap 150g x48,8,33360,266880
ORD-2024-000599,09/07/2024,CUS-00334,PRD-0151,Molfix Diapers 44pc x4,15,42840,642600
ORD-2024-000604,09/07/2024,CUS-00980,PRD-0161,Irish Spring 105g x48,29,32640,946560
ORD-2024-000611,10/07/2024,CUS-01331,PRD-0037,Vitamilk Soy 30cl x24,13,25650,333450
ORD-2024-000615,10/07/2024,CUS-02377,PRD-0048,Golden Penny Flour 2kg x5,9,16870,151830
ORD-2024-000616,10/07/2024,CUS-02395,PRD-0051,Mama Gold Rice 5kg x4,4,43070,172280
ORD-2024-000621,10/07/2024,CUS-02313,PRD-0060,Geisha Mackerel 155g x50,13,57540,748020
ORD-2024-000628,10/07/2024,CUS-01892,PRD-0062,Gino Pepper & Onion 70g x50,32,17890,572480
ORD-2024-000630,10/07/2024,CUS-02186,PRD-0067,Knorr Chicken Cubes 50x8g x24,6,12380,74280
ORD-2024-000642,10/07/2024,CUS-01598,PRD-0090,Dano Milk Refill 360g x12  ,11,37690,414590
ORD-2024-000648,10/07/2024,CUS-02348,PRD-0098,Mama Lemon 750ml x12,5,15320,76600
ORD-2024-000651,10/07/2024,CUS-00290,PRD-0108,Rambo Insecticide 300ml x24,8,30750,246000
ORD-2024-000657,10/07/2024,CUS-00206,PRD-0125,Insecticide Coil 10pk x30,2,15380,30760
ORD-2024-000682,11/07/2024,CUS-00916,PRD-0006,Aquafina Water 75cl x12  ,13,3060,39780
ORD-2024-000689,11/07/2024,CUS-00581,PRD-0033,Nutri Milk Choco 18cl x24,1,11040,11040
ORD-2024-000694,11/07/2024,CUS-01903,PRD-0057,Honeywell Semolina 1kg x10,14,18040,252560
ORD-2024-000701,11/07/2024,CUS-00133,PRD-0081,Kelloggs Cornflakes 500g x10  ,10,42190,421900
ORD-2024-000702,11/07/2024,CUS-02199,PRD-0083,Tomato Mix Tin 400g x24,5,23690,118450
ORD-2024-000706,11/07/2024,CUS-01943,PRD-0086,Blue Band Spread 450g x12,17,28180,479060
ORD-2024-000715,11/07/2024,CUS-01076,PRD-0098,Mama Lemon 750ml x12,37,15320,566840
ORD-2024-000718,11/07/2024,CUS-00031,PRD-0100,Jik Bleach 500ml x24,9,20780,187020
ORD-2024-000719,11/07/2024,CUS-00249,PRD-0100,Jik Bleach 500ml x24,2,20780,41560
ORD-2024-000721,11/07/2024,CUS-01483,PRD-0103,Dettol Liquid 500ml x12,9,38480,346320
ORD-2024-000727,11/07/2024,CUS-01529,PRD-0135,Lux Soap 170g x48,3,32900,98700
ORD-2024-000729,11/07/2024,CUS-00239,PRD-0139,Dudu Osun Black Soap 150g x48,2,33360,66720
ORD-2024-000730,11/07/2024,CUS-01738,PRD-0142,Nivea Body Lotion 400ml x12,5,52030,260150
ORD-2024-000738,11/07/2024,CUS-01127,PRD-0164,My My Powder 250g x24,7,19920,139440
ORD-2024-000741,11/07/2024,CUS-01074,PRD-0166,Aboniki Balm 25g x48,7,25650,179550
ORD-2024-000765,12/07/2024,CUS-01188,PRD-0077,Checkers Custard 2kg x6,5,31120,155600
ORD-2024-000769,12/07/2024,CUS-01414,PRD-0080,Nasco Cornflakes 350g x12,4,23900,95600
ORD-2024-000775,12/07/2024,CUS-00711,PRD-0090,Dano Milk Refill 360g x12,5,37690,188450
ORD-2024-000787,12/07/2024,CUS-01786,PRD-0108,Rambo Insecticide 300ml x24,4,30750,123000
ORD-2024-000790,12/07/2024,CUS-00975,PRD-0112,Hypo Toilet Cleaner 500ml x12,3,15500,46500
ORD-2024-000791,12/07/2024,CUS-02306,PRD-0116,Key Bar Soap 200g x36,7,17680,123760
ORD-2024-000792,12/07/2024,CUS-01265,PRD-0116,Key Bar Soap 200g x36  ,7,17680,123760
ORD-2024-000796,12/07/2024,CUS-00469,PRD-0121,Mop & Bucket Set x6,6,26430,158580
ORD-2024-000800,12/07/2024,CUS-01348,PRD-0125,Insecticide Coil 10pk x30,27,15380,415260
ORD-2024-000812,12/07/2024,CUS-01190,PRD-0150,Huggies Gold 44pc x4,5,47850,239250
ORD-2024-000815,12/07/2024,CUS-02076,PRD-0151,Molfix Diapers 44pc x4,6,42840,257040
ORD-2024-000821,12/07/2024,CUS-00268,PRD-0159,Delta Soap 160g x48,9,25840,232560
ORD-2024-000823,12/07/2024,CUS-00676,PRD-0160,Safeguard Soap 175g x48,1,32940,32940
ORD-2024-000831,13/07/2024,CUS-01941,PRD-0018,Peak Milk Powder 400g Tin x12,36,62570,2252520
ORD-2024-000840,13/07/2024,CUS-01370,PRD-0062,Gino Pepper & Onion 70g x50,9,17890,161010
ORD-2024-000844,13/07/2024,CUS-01863,PRD-0068,Maggi Star Cubes 100x4g x12,11,16320,179520
ORD-2024-000845,13/07/2024,CUS-01999,PRD-0074,Semovita 2kg x10,3,38390,115170
ORD-2024-000850,13/07/2024,CUS-01842,PRD-0078,Quaker Oats 500g x12,23,33720,775560
ORD-2024-000855,13/07/2024,CUS-01157,PRD-0090,Dano Milk Refill 360g x12  ,10,37690,376900
ORD-2024-000861,13/07/2024,CUS-00396,PRD-0100,Jik Bleach 500ml x24,5,20780,103900
ORD-2024-000865,13/07/2024,CUS-00414,PRD-0120,Scrubbing Brush Heavy x24,9,14740,132660
ORD-2024-000873,13/07/2024,CUS-00472,PRD-0157,Venus Hair Cream 260ml x12,16,24810,396960
ORD-2024-000879,14/07/2024,CUS-00187,PRD-0055,Indomie Onion Chicken 70g x40,5,16990,84950
ORD-2024-000880,14/07/2024,CUS-02336,PRD-0057,Honeywell Semolina 1kg x10,13,18040,234520
ORD-2024-000903,15/07/2024,CUS-00334,PRD-0018,Peak Milk Powder 400g Tin x12,4,62570,250280
ORD-2024-000906,15/07/2024,CUS-01448,PRD-0027,Bigi Chapman 60cl x12,10,4920,49200
ORD-2024-000908,15/07/2024,CUS-01400,PRD-0035,Frutta Juice 1L x12,15,13660,204900
ORD-2024-000920,15/07/2024,CUS-01050,PRD-0061,Gino Tomato Paste 70g x50,6,16320,97920
ORD-2024-000929,15/07/2024,CUS-00256,PRD-0086,Blue Band Spread 450g x12  ,15,28180,422700
ORD-2024-000937,15/07/2024,CUS-01736,PRD-0090,Dano Milk Refill 360g x12,12,37690,452280
ORD-2024-000938,15/07/2024,CUS-00493,PRD-0090,Dano Milk Refill 360g x12,8,37690,301520
ORD-2024-000939,15/07/2024,CUS-00453,PRD-0090,Dano Milk Refill 360g x12,13,37690,489970
ORD-2024-000947,15/07/2024,CUS-00742,PRD-0101,Harpic Toilet Cleaner 500ml x12,2,22590,45180
ORD-2024-000948,15/07/2024,CUS-00004,PRD-0102,Izal Disinfectant 500ml x12,9,17050,153450
ORD-2024-000955,15/07/2024,CUS-01061,PRD-0131,Close-Up Red Hot 140g x36,6,31140,186840
ORD-2024-000967,15/07/2024,CUS-00304,PRD-0163,Cussons Baby Powder 200g x24,21,27790,583590
ORD-2024-000974,16/07/2024,CUS-00998,PRD-0004,Pepsi 50cl PET x12,19,4490,85310
ORD-2024-000982,16/07/2024,CUS-00016,PRD-0024,Zobo Concentrate 1L x6,6,9800,58800
ORD-2024-000983,16/07/2024,CUS-01098,PRD-0025,La Casera Apple 50cl x12  ,4,5090,20360
ORD-2024-000992,16/07/2024,CUS-01463,PRD-0053,Big Bull Rice 5kg x4,5,38950,194750
ORD-2024-000994,16/07/2024,CUS-00367,PRD-0057,Honeywell Semolina 1kg x10  ,4,18040,72160
ORD-2024-001002,16/07/2024,CUS-00325,PRD-0076,Ola-Ola Poundo 0.9kg x12,8,28050,224400
ORD-2024-001003,16/07/2024,CUS-02493,PRD-0077,Checkers Custard 2kg x6,5,31120,155600
ORD-2024-001004,16/07/2024,CUS-01747,PRD-0077,Checkers Custard 2kg x6,9,31120,280080
ORD-2024-001012,16/07/2024,CUS-01990,PRD-0086,Blue Band Spread 450g x12,5,28180,140900
ORD-2024-001017,16/07/2024,CUS-01644,PRD-0090,Dano Milk Refill 360g x12,11,37690,414590
ORD-2024-001018,16/07/2024,CUS-00736,PRD-0090,Dano Milk Refill 360g x12,14,37690,527660
ORD-2024-001025,16/07/2024,CUS-01243,PRD-0091,Omo Multi-Active 900g x12,6,27010,162060
ORD-2024-001035,16/07/2024,CUS-00501,PRD-0113,Zip Detergent Sachet 60x40g,2,10420,20840
ORD-2024-001046,16/07/2024,CUS-02364,PRD-0139,Dudu Osun Black Soap 150g x48,5,33360,166800
ORD-2024-001048,16/07/2024,CUS-00121,PRD-0145,Rexona Roll-On 50ml x24,13,31800,413400
ORD-2024-001059,16/07/2024,CUS-02415,PRD-0160,Safeguard Soap 175g x48,10,32940,329400
ORD-2024-001066,17/07/2024,CUS-00496,PRD-0004,Pepsi 50cl PET x12,5,4490,22450
ORD-2024-001081,17/07/2024,CUS-01866,PRD-0051,Mama Gold Rice 5kg x4,4,43070,172280
ORD-2024-001082,17/07/2024,CUS-00252,PRD-0051,Mama Gold Rice 5kg x4,16,43070,689120
ORD-2024-001085,17/07/2024,CUS-01944,PRD-0057,Honeywell Semolina 1kg x10,9,18040,162360
ORD-2024-001086,17/07/2024,CUS-00591,PRD-0057,Honeywell Semolina 1kg x10,2,18040,36080
ORD-2024-001087,17/07/2024,CUS-02099,PRD-0057,Honeywell Semolina 1kg x10,6,18040,108240
ORD-2024-001105,17/07/2024,CUS-00202,PRD-0091,Omo Multi-Active 900g x12,6,27010,162060
ORD-2024-001110,17/07/2024,CUS-00050,PRD-0100,Jik Bleach 500ml x24,3,20780,62340
ORD-2024-001113,17/07/2024,CUS-00599,PRD-0107,Baygon Spray 600ml x12,10,39590,395900
ORD-2024-001114,17/07/2024,CUS-01861,PRD-0118,Duck Toilet Gel 500ml x12,7,23110,161770
ORD-2024-001117,17/07/2024,CUS-00824,PRD-0122,Bin Liners 50pc Roll x24,10,19140,191400
ORD-2024-001122,17/07/2024,CUS-01826,PRD-0133,Macleans 125g x36,6,27960,167760
ORD-2024-001127,17/07/2024,CUS-01394,PRD-0142,Nivea Body Lotion 400ml x12,57,52030,2965710
ORD-2024-001129,17/07/2024,CUS-00254,PRD-0145,Rexona Roll-On 50ml x24,5,31800,159000
ORD-2024-001133,17/07/2024,CUS-01542,PRD-0151,Molfix Diapers 44pc x4,8,42840,342720
ORD-2024-001136,17/07/2024,CUS-01299,PRD-0154,Dax Hair Pomade 213g x24,9,42470,382230
ORD-2024-001148,18/07/2024,CUS-01718,PRD-0005,Eva Water 75cl x12,6,3110,18660
ORD-2024-001155,18/07/2024,CUS-02059,PRD-0035,Frutta Juice 1L x12,14,13660,191240
ORD-2024-001167,18/07/2024,CUS-01884,PRD-0065,Power Oil 1L x12,3,34000,102000
ORD-2024-001180,18/07/2024,CUS-01144,PRD-0086,Blue Band Spread 450g x12,9,28180,253620
ORD-2024-001183,18/07/2024,CUS-01796,PRD-0090,Dano Milk Refill 360g x12,2,37690,75380
ORD-2024-001192,18/07/2024,CUS-00250,PRD-0098,Mama Lemon 750ml x12,6,15320,91920
ORD-2024-001199,18/07/2024,CUS-00909,PRD-0105,Mortein Spray 600ml x12,11,41060,451660
ORD-2024-001204,18/07/2024,CUS-00040,PRD-0121,Mop & Bucket Set x6,7,26430,185010
ORD-2024-001217,18/07/2024,CUS-00880,PRD-0150,Huggies Gold 44pc x4,10,47850,478500
ORD-2024-001221,18/07/2024,CUS-01569,PRD-0151,Molfix Diapers 44pc x4,2,42840,85680
ORD-2024-001233,19/07/2024,CUS-00220,PRD-0004,Pepsi 50cl PET x12,9,4490,40410
ORD-2024-001249,19/07/2024,CUS-01791,PRD-0056,Indomie Hungry Man 200g x24,3,25020,75060
ORD-2024-001263,19/07/2024,CUS-00649,PRD-0084,Bonita Baked Beans 400g x24,7,27760,194320
ORD-2024-001268,19/07/2024,CUS-00664,PRD-0090,Dano Milk Refill 360g x12,19,37690,716110
ORD-2024-001271,19/07/2024,CUS-02320,PRD-0091,Omo Multi-Active 900g x12,12,27010,324120
ORD-2024-001274,19/07/2024,CUS-01871,PRD-0098,Mama Lemon 750ml x12,5,15320,76600
ORD-2024-001275,19/07/2024,CUS-01323,PRD-0100,Jik Bleach 500ml x24,11,20780,228580
ORD-2024-001276,19/07/2024,CUS-00696,PRD-0100,Jik Bleach 500ml x24,8,20780,166240
ORD-2024-001286,19/07/2024,CUS-01366,PRD-0125,Insecticide Coil 10pk x30,1,15380,15380
ORD-2024-001290,19/07/2024,CUS-02473,PRD-0145,Rexona Roll-On 50ml x24,4,31800,127200
ORD-2024-001291,19/07/2024,CUS-00093,PRD-0145,Rexona Roll-On 50ml x24,8,31800,254400
ORD-2024-001297,19/07/2024,CUS-00601,PRD-0160,Safeguard Soap 175g x48,3,32940,98820
ORD-2024-001298,19/07/2024,CUS-00412,PRD-0160,Safeguard Soap 175g x48,6,32940,197640
ORD-2024-001310,19/07/2024,CUS-00009,PRD-0166,Aboniki Balm 25g x48,5,25650,128250
ORD-2024-001312,20/07/2024,CUS-01068,PRD-0004,Pepsi 50cl PET x12,8,4490,35920
ORD-2024-001322,20/07/2024,CUS-00101,PRD-0057,Honeywell Semolina 1kg x10,3,18040,54120
ORD-2024-001324,20/07/2024,CUS-01736,PRD-0061,Gino Tomato Paste 70g x50,7,16320,114240
ORD-2024-001326,20/07/2024,CUS-01575,PRD-0068,Maggi Star Cubes 100x4g x12,2,16320,32640
ORD-2024-001337,20/07/2024,CUS-00543,PRD-0090,Dano Milk Refill 360g x12,27,37690,1017630
ORD-2024-001350,20/07/2024,CUS-01398,PRD-0121,Mop & Bucket Set x6,10,26430,264300
ORD-2024-001355,20/07/2024,CUS-00610,PRD-0125,Insecticide Coil 10pk x30,21,15380,322980
ORD-2024-001360,20/07/2024,CUS-00511,PRD-0144,Sure Deodorant 150ml x12,6,31990,191940
ORD-2024-001364,20/07/2024,CUS-00791,PRD-0156,ORS Relaxer Kit x12,11,58570,644270
ORD-2024-001373,21/07/2024,CUS-00369,PRD-0041,Smoov Chapman 40cl x12,12,6830,81960
ORD-2024-001391,22/07/2024,CUS-01439,PRD-0011,Maltina Can 33cl x24,4,17170,68680
ORD-2024-001396,22/07/2024,CUS-01596,PRD-0025,La Casera Apple 50cl x12,9,5090,45810
ORD-2024-001402,22/07/2024,CUS-02110,PRD-0060,Geisha Mackerel 155g x50,5,57540,287700
ORD-2024-001416,22/07/2024,CUS-01596,PRD-0075,Ayoola Poundo Yam 1.8kg x6,13,34020,442260
ORD-2024-001423,22/07/2024,CUS-02120,PRD-0086,Blue Band Spread 450g x12,13,28180,366340
ORD-2024-001425,22/07/2024,CUS-00157,PRD-0090,Dano Milk Refill 360g x12,9,37690,339210
ORD-2024-001430,22/07/2024,CUS-00779,PRD-0100,Jik Bleach 500ml x24,50,20780,1039000
ORD-2024-001438,22/07/2024,CUS-00050,PRD-0123,Ola Candles 6pk x24,14,14410,201740
ORD-2024-001447,22/07/2024,CUS-00215,PRD-0151,Molfix Diapers 44pc x4,4,42840,171360
ORD-2024-001448,22/07/2024,CUS-00974,PRD-0151,Molfix Diapers 44pc x4,9,42840,385560
ORD-2024-001453,22/07/2024,CUS-01931,PRD-0156,ORS Relaxer Kit x12,4,58570,234280
ORD-2024-001469,23/07/2024,CUS-02466,PRD-0037,Vitamilk Soy 30cl x24,6,25650,153900
ORD-2024-001475,23/07/2024,CUS-00685,PRD-0052,Royal Stallion Rice 5kg x4,10,43630,436300
ORD-2024-001484,23/07/2024,CUS-01830,PRD-0068,Maggi Star Cubes 100x4g x12,3,16320,48960
ORD-2024-001487,23/07/2024,CUS-02320,PRD-0079,Golden Morn 900g x10,5,46870,234350
ORD-2024-001498,23/07/2024,CUS-01120,PRD-0090,Dano Milk Refill 360g x12,8,37690,301520
ORD-2024-001499,23/07/2024,CUS-00257,PRD-0090,Dano Milk Refill 360g x12,6,37690,226140
ORD-2024-001500,23/07/2024,CUS-00989,PRD-0090,Dano Milk Refill 360g x12  ,8,37690,301520
ORD-2024-001509,23/07/2024,CUS-00166,PRD-0100,Jik Bleach 500ml x24,8,20780,166240
ORD-2024-001515,23/07/2024,CUS-00483,PRD-0113,Zip Detergent Sachet 60x40g,20,10420,208400
ORD-2024-001523,23/07/2024,CUS-01451,PRD-0151,Molfix Diapers 44pc x4,8,42840,342720
ORD-2024-001530,23/07/2024,CUS-01167,PRD-0164,My My Powder 250g x24,7,19920,139440
ORD-2024-001539,24/07/2024,CUS-00537,PRD-0016,Milo Refill 500g x12,4,42680,170720
ORD-2024-001551,24/07/2024,CUS-01803,PRD-0039,Grand Malt 33cl x24,6,14770,88620
ORD-2024-001554,24/07/2024,CUS-00561,PRD-0045,Predator Energy 40cl x12,10,7340,73400
ORD-2024-001559,24/07/2024,CUS-00216,PRD-0057,Honeywell Semolina 1kg x10,8,18040,144320
ORD-2024-001569,24/07/2024,CUS-01599,PRD-0077,Checkers Custard 2kg x6,6,31120,186720
ORD-2024-001571,24/07/2024,CUS-02353,PRD-0081,Kelloggs Cornflakes 500g x10,6,42190,253140
ORD-2024-001573,24/07/2024,CUS-01993,PRD-0082,Uncle Palm Oil 1L x12,11,30730,338030
ORD-2024-001583,24/07/2024,CUS-02299,PRD-0093,Sunlight Detergent 900g x12,4,23080,92320
ORD-2024-001591,24/07/2024,CUS-02070,PRD-0118,Duck Toilet Gel 500ml x12,13,23110,300430
ORD-2024-001597,24/07/2024,CUS-02110,PRD-0125,Insecticide Coil 10pk x30,10,15380,153800
