ReturnID,ReturnDate,OrderID,CustomerID,ProductID,WarehouseID,QtyReturned,Reason
RET-00088,2026-06-14,ORD-2026-052182,CUS-02281,PRD-0082,WH-ABJ,3,Customer overstock
RET-00089,2026-04-18,ORD-2026-048670,CUS-02403,PRD-0109,WH-LAG1,2,Damaged in transit
RET-00090,2025-05-15,ORD-2025-023035,CUS-00349,PRD-0153,WH-PHC,1,Damaged in transit
RET-00091,2024-12-15,ORD-2024-012357,CUS-02489,PRD-0118,WH-LAG1,5,Damaged in transit
RET-00092,2026-06-08,ORD-2026-052232,CUS-00424,PRD-0151,WH-PHC,3,Wrong item
RET-00093,2026-07-03,ORD-2026-053703,CUS-02404,PRD-0100,WH-ABJ,1,Wrong item
RET-00094,2025-06-16,ORD-2025-025673,CUS-01619,PRD-0045,WH-IBD,2,Wrong item
RET-00095,2025-12-21,ORD-2025-039309,CUS-01011,PRD-0102,WH-LAG1,2,Near expiry
RET-00096,2025-12-14,ORD-2025-038367,CUS-01293,PRD-0007,WH-PHC,1,Wrong item
RET-00097,2025-07-30,ORD-2025-028548,CUS-02202,PRD-0035,WH-LAG1,9,Damaged in transit
RET-00098,2025-11-25,ORD-2025-037050,CUS-00949,PRD-0083,WH-IBD,3,Near expiry
RET-00099,2026-04-30,ORD-2026-049050,CUS-01232,PRD-0011,WH-LAG1,2,Wrong item
RET-00100,2025-05-24,ORD-2025-023632,CUS-01573,PRD-0100,WH-LAG1,3,Wrong item
RET-00101,2024-09-22,ORD-2024-005422,CUS-01842,PRD-0079,WH-LAG1,14,Customer overstock
RET-00102,2025-08-06,ORD-2025-029171,CUS-00164,PRD-0094,WH-PHC,12,Wrong item
RET-00103,2026-05-07,ORD-2026-049363,CUS-01324,PRD-0102,WH-ABJ,4,Damaged in transit
RET-00104,2024-12-09,ORD-2024-011531,CUS-01462,PRD-0068,WH-PHC,4,Wrong item
RET-00105,2025-03-24,ORD-2025-019235,CUS-01495,PRD-0064,WH-LAG1,17,Wrong item
RET-00106,2025-11-05,ORD-2025-035349,CUS-01232,PRD-0151,WH-LAG2,11,Customer overstock
RET-00107,2024-08-11,ORD-2024-002289,CUS-01888,PRD-0090,WH-LAG2,4,Near expiry
RET-00108,2025-08-24,ORD-2025-030250,CUS-00534,PRD-0061,WH-LAG1,4,Near expiry
RET-00109,2024-07-28,ORD-2024-001348,CUS-01882,PRD-0115,WH-LAG1,12,Customer overstock
RET-00110,2025-09-25,ORD-2025-032198,CUS-00657,PRD-0110,WH-ABJ,12,Near expiry
RET-00111,2024-10-04,ORD-2024-005797,CUS-00753,PRD-0090,WH-PHC,4,Near expiry
RET-00112,2025-04-03,ORD-2025-020311,CUS-01633,PRD-0024,WH-LAG2,1,Damaged in transit
RET-00113,2026-01-07,ORD-2025-041442,CUS-01346,PRD-0094,WH-LAG1,1,Near expiry
RET-00114,2026-02-22,ORD-2026-044125,CUS-00363,PRD-0151,WH-LAG2,1,Customer overstock
RET-00115,2025-04-03,ORD-2025-019914,CUS-00532,PRD-0077,WH-ABJ,5,Near expiry
RET-00116,2026-06-04,ORD-2026-051648,CUS-01527,PRD-0156,WH-ABJ,1,Customer overstock
RET-00117,2026-06-30,ORD-2026-053491,CUS-01535,PRD-0155,WH-IBD,1,Near expiry
RET-00118,2025-09-01,ORD-2025-030353,CUS-01771,PRD-0116,WH-LAG2,2,Customer overstock
RET-00119,2025-09-16,ORD-2025-031652,CUS-00554,PRD-0031,WH-LAG1,2,Damaged in transit
RET-00120,2024-10-16,ORD-2024-006920,CUS-01217,PRD-0076,WH-IBD,1,Wrong item
RET-00121,2026-02-13,ORD-2026-043796,CUS-00212,PRD-0120,WH-ABJ,5,Damaged in transit
RET-00122,2025-11-03,ORD-2025-035549,CUS-01856,PRD-0063,WH-PHC,6,Damaged in transit
RET-00123,2024-11-23,ORD-2024-010338,CUS-01141,PRD-0033,WH-LAG1,2,Near expiry
RET-00124,2025-05-22,ORD-2025-023956,CUS-00393,PRD-0126,WH-LAG2,7,Wrong item
RET-00125,2024-12-23,ORD-2024-012438,CUS-01584,PRD-0062,WH-LAG2,1,Customer overstock
RET-00126,2025-12-18,ORD-2025-039074,CUS-01161,PRD-0091,WH-LAG1,11,Near expiry
RET-00127,2025-07-06,ORD-2025-026877,CUS-00785,PRD-0037,WH-LAG2,8,Damaged in transit
RET-00128,2024-08-27,ORD-2024-003593,CUS-00373,PRD-0154,WH-PHC,1,Wrong item
RET-00129,2025-04-19,ORD-2025-021629,CUS-00616,PRD-0105,WH-LAG2,2,Damaged in transit
RET-00130,2025-05-23,ORD-2025-023648,CUS-02322,PRD-0132,WH-LAG1,2,Near expiry
RET-00131,2025-02-07,ORD-2025-016337,CUS-01187,PRD-0101,WH-ABJ,1,Customer overstock
RET-00132,2026-02-02,ORD-2026-043185,CUS-02098,PRD-0011,WH-PHC,6,Damaged in transit
RET-00133,2025-06-30,ORD-2025-026717,CUS-00573,PRD-0167,WH-ABJ,43,Wrong item
RET-00134,2025-11-16,ORD-2025-036787,CUS-01518,PRD-0121,WH-PHC,5,Damaged in transit
RET-00135,2024-12-08,ORD-2024-011667,CUS-01665,PRD-0063,WH-ABJ,3,Customer overstock
RET-00136,2024-12-22,ORD-2024-012465,CUS-01411,PRD-0090,WH-LAG1,1,Wrong item
RET-00137,2025-03-04,ORD-2025-018532,CUS-00201,PRD-0125,WH-ABJ,2,Customer overstock
RET-00138,2024-12-05,ORD-2024-011489,CUS-00356,PRD-0004,WH-LAG1,1,Near expiry
RET-00139,2026-05-16,ORD-2026-049840,CUS-01786,PRD-0026,WH-LAG2,3,Damaged in transit
RET-00140,2026-01-03,ORD-2025-040720,CUS-00854,PRD-0108,WH-LAG1,6,Damaged in transit
RET-00141,2024-10-02,ORD-2024-005553,CUS-01281,PRD-0026,WH-ABJ,1,Customer overstock
RET-00142,2025-04-15,ORD-2025-021513,CUS-02033,PRD-0086,WH-LAG1,6,Near expiry
RET-00143,2024-08-21,ORD-2024-002730,CUS-00607,PRD-0024,WH-ABJ,1,Wrong item
RET-00144,2024-11-26,ORD-2024-009905,CUS-00685,PRD-0098,WH-IBD,4,Wrong item
RET-00145,2026-02-15,ORD-2026-043948,CUS-00253,PRD-0151,WH-ABJ,1,Wrong item
RET-00146,2024-08-30,ORD-2024-003785,CUS-01936,PRD-0151,WH-ABJ,5,Wrong item
RET-00147,2025-10-03,ORD-2025-032520,CUS-01730,PRD-0039,WH-LAG1,1,Damaged in transit
RET-00148,2025-12-09,ORD-2025-038755,CUS-00343,PRD-0077,WH-IBD,1,Wrong item
RET-00149,2026-02-12,ORD-2026-043498,CUS-01943,PRD-0105,WH-LAG1,2,Wrong item
RET-00150,2025-10-24,ORD-2025-034473,CUS-02335,PRD-0098,WH-LAG1,10,Customer overstock
RET-00151,2025-04-01,ORD-2025-020511,CUS-00660,PRD-0090,WH-ABJ,1,Wrong item
RET-00152,2025-12-18,ORD-2025-039250,CUS-00168,PRD-0161,WH-LAG2,16,Near expiry
RET-00153,2024-10-31,ORD-2024-008007,CUS-00287,PRD-0090,WH-LAG1,6,Wrong item
RET-00154,2025-11-10,ORD-2025-035473,CUS-02478,PRD-0090,WH-ABJ,12,Damaged in transit
RET-00155,2025-05-24,ORD-2025-023882,CUS-01457,PRD-0120,WH-PHC,2,Damaged in transit
RET-00156,2025-04-19,ORD-2025-021707,CUS-02237,PRD-0103,WH-LAG1,1,Customer overstock
RET-00157,2026-03-03,ORD-2026-044727,CUS-01758,PRD-0039,WH-IBD,2,Customer overstock
RET-00158,2025-02-10,ORD-2025-016447,CUS-02396,PRD-0085,WH-LAG2,20,Wrong item
RET-00159,2024-09-09,ORD-2024-004612,CUS-02372,PRD-0118,WH-IBD,8,Wrong item
RET-00160,2025-01-30,ORD-2025-016258,CUS-02394,PRD-0105,WH-ABJ,2,Damaged in transit
RET-00161,2026-05-23,ORD-2026-051262,CUS-01483,PRD-0090,WH-LAG1,1,Near expiry
RET-00162,2025-02-20,ORD-2025-017053,CUS-01116,PRD-0108,WH-LAG1,1,Damaged in transit
RET-00163,2024-10-24,ORD-2024-007335,CUS-01984,PRD-0137,WH-LAG2,2,Customer overstock
RET-00164,2024-11-21,ORD-2024-010021,CUS-00515,PRD-0060,WH-PHC,4,Wrong item
RET-00165,2024-08-11,ORD-2024-002442,CUS-01122,PRD-0160,WH-PHC,2,Near expiry
RET-00166,2025-05-17,ORD-2025-023799,CUS-01039,PRD-0150,WH-LAG1,2,Wrong item
RET-00167,2025-06-08,ORD-2025-025041,CUS-02044,PRD-0018,WH-LAG1,2,Damaged in transit
RET-00168,2025-11-16,ORD-2025-036784,CUS-00638,PRD-0121,WH-LAG1,1,Wrong item
RET-00169,2024-12-21,ORD-2024-012732,CUS-00515,PRD-0108,WH-PHC,2,Near expiry
RET-00170,2025-12-04,ORD-2025-038100,CUS-00351,PRD-0125,WH-IBD,11,Damaged in transit
RET-00171,2024-10-12,ORD-2024-007008,CUS-02422,PRD-0076,WH-LAG1,7,Near expiry
RET-00172,2026-01-11,ORD-2025-041328,CUS-01184,PRD-0090,WH-PHC,1,Damaged in transit
RET-00173,2026-01-02,ORD-2025-041143,CUS-00324,PRD-0001,WH-IBD,2,Damaged in transit
RET-00174,2026-06-22,ORD-2026-053188,CUS-02129,PRD-0156,WH-IBD,7,Wrong item
RET-00175,2025-05-02,ORD-2025-022116,CUS-00312,PRD-0128,WH-LAG1,4,Wrong item
RET-00176,2025-09-01,ORD-2025-030653,CUS-00166,PRD-0018,WH-IBD,1,Wrong item
RET-00177,2025-03-27,ORD-2025-019553,CUS-01208,PRD-0046,WH-LAG1,1,Near expiry
RET-00178,2024-09-17,ORD-2024-005179,CUS-00859,PRD-0091,WH-LAG2,1,Damaged in transit
RET-00179,2025-08-18,ORD-2025-029834,CUS-00533,PRD-0145,WH-LAG1,1,Damaged in transit
RET-00180,2025-07-27,ORD-2025-028119,CUS-00941,PRD-0086,WH-IBD,5,Near expiry
RET-00181,2025-05-22,ORD-2025-023969,CUS-02376,PRD-0019,WH-PHC,5,Near expiry
RET-00182,2025-12-11,ORD-2025-038727,CUS-02043,PRD-0004,WH-LAG1,4,Customer overstock
RET-00183,2024-09-18,ORD-2024-004746,CUS-02067,PRD-0090,WH-PHC,8,Customer overstock
RET-00184,2025-11-12,ORD-2025-035896,CUS-00910,PRD-0090,WH-ABJ,14,Wrong item
RET-00185,2026-03-15,ORD-2026-045803,CUS-01413,PRD-0031,WH-ABJ,12,Customer overstock
RET-00186,2026-06-13,ORD-2026-052322,CUS-01694,PRD-0026,WH-ABJ,1,Customer overstock
RET-00187,2024-08-14,ORD-2024-002441,CUS-00143,PRD-0156,WH-IBD,1,Customer overstock
RET-00188,2025-03-25,ORD-2025-019903,CUS-00380,PRD-0064,WH-LAG1,22,Damaged in transit
RET-00189,2025-01-09,ORD-2024-014535,CUS-02186,PRD-0118,WH-LAG1,8,Damaged in transit
RET-00190,2026-01-24,ORD-2026-042212,CUS-00511,PRD-0016,WH-LAG2,1,Near expiry
RET-00191,2026-07-06,ORD-2026-053981,CUS-00455,PRD-0161,WH-PHC,3,Wrong item
RET-00192,2024-09-19,ORD-2024-005239,CUS-01408,PRD-0062,WH-LAG1,8,Damaged in transit
RET-00193,2026-02-22,ORD-2026-044631,CUS-00907,PRD-0004,WH-LAG2,1,Wrong item
RET-00194,2026-05-31,ORD-2026-051389,CUS-02136,PRD-0151,WH-LAG2,8,Wrong item
RET-00195,2026-04-24,ORD-2026-048334,CUS-01998,PRD-0090,WH-LAG2,4,Near expiry
RET-00196,2025-03-18,ORD-2025-018964,CUS-00503,PRD-0037,WH-PHC,7,Customer overstock
RET-00197,2025-02-18,ORD-2025-016983,CUS-00497,PRD-0077,WH-LAG1,9,Customer overstock
RET-00198,2026-01-06,ORD-2026-041812,CUS-00333,PRD-0160,WH-ABJ,1,Damaged in transit
RET-00199,2024-10-22,ORD-2024-007615,CUS-01021,PRD-0162,WH-PHC,6,Customer overstock
RET-00200,2025-04-21,ORD-2025-021393,CUS-01233,PRD-0018,WH-LAG2,23,Near expiry
RET-00201,2026-06-12,ORD-2026-051955,CUS-00749,PRD-0080,WH-LAG2,7,Damaged in transit
RET-00202,2025-05-05,ORD-2025-022813,CUS-02359,PRD-0100,WH-ABJ,1,Near expiry
RET-00203,2026-01-01,ORD-2025-040457,CUS-00869,PRD-0096,WH-IBD,2,Wrong item
RET-00204,2025-04-22,ORD-2025-021423,CUS-02356,PRD-0125,WH-LAG2,4,Wrong item
RET-00205,2025-11-09,ORD-2025-035848,CUS-01142,PRD-0007,WH-ABJ,1,Wrong item
RET-00206,2026-06-01,ORD-2026-051159,CUS-02010,PRD-0024,WH-LAG2,24,Customer overstock
RET-00207,2024-12-18,ORD-2024-012479,CUS-02359,PRD-0098,WH-ABJ,12,Customer overstock
RET-00208,2026-01-04,ORD-2025-040880,CUS-00956,PRD-0161,WH-PHC,3,Damaged in transit
RET-00209,2025-09-08,ORD-2025-031458,CUS-02272,PRD-0115,WH-PHC,1,Wrong item
RET-00210,2025-04-13,ORD-2025-021096,CUS-00651,PRD-0086,WH-ABJ,1,Wrong item
RET-00211,2024-12-10,ORD-2024-011023,CUS-00305,PRD-0065,WH-ABJ,2,Customer overstock
RET-00212,2025-03-20,ORD-2025-019689,CUS-01076,PRD-0150,WH-LAG1,7,Damaged in transit
RET-00213,2025-03-13,ORD-2025-018955,CUS-00069,PRD-0005,WH-IBD,7,Customer overstock
RET-00214,2025-04-25,ORD-2025-022016,CUS-00621,PRD-0098,WH-LAG1,5,Wrong item
RET-00215,2026-03-16,ORD-2026-045619,CUS-02321,PRD-0108,WH-ABJ,4,Near expiry
RET-00216,2025-07-08,ORD-2025-026732,CUS-00807,PRD-0051,WH-LAG2,1,Customer overstock
RET-00217,2026-05-10,ORD-2026-049920,CUS-01412,PRD-0012,WH-ABJ,4,Wrong item
RET-00218,2025-06-23,ORD-2025-026133,CUS-01776,PRD-0065,WH-LAG1,5,Damaged in transit
RET-00219,2024-09-12,ORD-2024-004838,CUS-01908,PRD-0118,WH-LAG2,4,Wrong item
RET-00220,2026-04-03,ORD-2026-047062,CUS-02168,PRD-0016,WH-IBD,3,Customer overstock
RET-00221,2024-07-19,ORD-2024-001102,CUS-00331,PRD-0090,WH-ABJ,1,Customer overstock
RET-00222,2025-05-19,ORD-2025-023495,CUS-00136,PRD-0004,WH-LAG1,1,Damaged in transit
RET-00223,2025-06-29,ORD-2025-026525,CUS-00910,PRD-0090,WH-ABJ,4,Damaged in transit
RET-00224,2025-08-01,ORD-2025-028869,CUS-00944,PRD-0098,WH-ABJ,6,Near expiry
RET-00225,2025-10-24,ORD-2025-034684,CUS-00195,PRD-0143,WH-LAG1,56,Damaged in transit
RET-00226,2025-07-29,ORD-2025-028497,CUS-01597,PRD-0091,WH-IBD,1,Near expiry
RET-00227,2024-09-18,ORD-2024-005015,CUS-01603,PRD-0135,WH-ABJ,3,Wrong item
RET-00228,2025-11-11,ORD-2025-036318,CUS-00113,PRD-0152,WH-LAG1,2,Near expiry
RET-00229,2025-09-15,ORD-2025-031537,CUS-02145,PRD-0002,WH-PHC,2,Wrong item
RET-00230,2026-04-25,ORD-2026-048299,CUS-00930,PRD-0036,WH-LAG1,9,Customer overstock
RET-00231,2025-12-09,ORD-2025-037895,CUS-00138,PRD-0166,WH-LAG2,8,Customer overstock
RET-00232,2026-07-01,ORD-2026-053267,CUS-01755,PRD-0161,WH-ABJ,1,Wrong item
RET-00233,2026-03-28,ORD-2026-046889,CUS-01313,PRD-0164,WH-PHC,8,Customer overstock
RET-00234,2025-12-01,ORD-2025-037510,CUS-01716,PRD-0049,WH-IBD,3,Wrong item
RET-00235,2025-02-18,ORD-2025-017338,CUS-00726,PRD-0073,WH-PHC,2,Wrong item
RET-00236,2024-07-16,ORD-2024-000918,CUS-02269,PRD-0060,WH-LAG1,7,Customer overstock
RET-00237,2025-12-13,ORD-2025-039372,CUS-00596,PRD-0027,WH-LAG1,1,Customer overstock
RET-00238,2024-12-23,ORD-2024-013273,CUS-01220,PRD-0141,WH-IBD,1,Damaged in transit
RET-00239,2025-05-23,ORD-2025-023857,CUS-00289,PRD-0086,WH-IBD,7,Customer overstock
RET-00240,2025-11-30,ORD-2025-037733,CUS-01927,PRD-0048,WH-LAG1,4,Wrong item
RET-00241,2024-08-09,ORD-2024-002210,CUS-00152,PRD-0160,WH-LAG2,1,Customer overstock
RET-00242,2025-11-05,ORD-2025-035562,CUS-02045,PRD-0083,WH-LAG1,13,Damaged in transit
RET-00243,2025-01-22,ORD-2025-015451,CUS-02291,PRD-0103,WH-PHC,6,Customer overstock
RET-00244,2025-05-13,ORD-2025-023175,CUS-00138,PRD-0118,WH-LAG1,2,Near expiry
RET-00245,2025-08-14,ORD-2025-029225,CUS-00327,PRD-0108,WH-ABJ,2,Wrong item
RET-00246,2025-12-30,ORD-2025-040172,CUS-00923,PRD-0077,WH-ABJ,3,Damaged in transit
RET-00247,2026-04-12,ORD-2026-047561,CUS-00694,PRD-0090,WH-LAG1,1,Customer overstock
RET-00248,2026-04-15,ORD-2026-048196,CUS-02487,PRD-0151,WH-LAG1,2,Wrong item
RET-00249,2024-09-20,ORD-2024-004816,CUS-02301,PRD-0090,WH-LAG1,1,Wrong item
RET-00250,2025-08-17,ORD-2025-029262,CUS-00767,PRD-0019,WH-PHC,2,Damaged in transit
RET-00251,2025-02-21,ORD-2025-017655,CUS-00063,PRD-0061,WH-LAG1,1,Customer overstock
RET-00252,2026-07-07,ORD-2026-053935,CUS-02118,PRD-0068,WH-LAG1,2,Near expiry
RET-00253,2024-10-08,ORD-2024-006672,CUS-01830,PRD-0127,WH-LAG1,1,Customer overstock
RET-00254,2025-04-20,ORD-2025-021765,CUS-00039,PRD-0090,WH-PHC,4,Customer overstock
RET-00255,2024-11-14,ORD-2024-009169,CUS-00871,PRD-0098,WH-LAG1,4,Damaged in transit
RET-00256,2025-07-15,ORD-2025-027314,CUS-01968,PRD-0131,WH-PHC,2,Damaged in transit
RET-00257,2026-03-16,ORD-2026-045827,CUS-00586,PRD-0167,WH-LAG1,17,Damaged in transit
RET-00258,2024-09-29,ORD-2024-005924,CUS-01810,PRD-0041,WH-LAG2,5,Wrong item
RET-00259,2025-06-01,ORD-2025-024330,CUS-01455,PRD-0020,WH-LAG2,6,Wrong item
RET-00260,2025-04-05,ORD-2025-020848,CUS-01378,PRD-0109,WH-PHC,8,Damaged in transit
