OrderID,OrderDate,CustomerID,ProductID,Qty,UOM,UnitPrice,LineTotal
ORD-2024-000143,2024-07-02,CUS-01998,prd-0143,0.58,CARTON,583680,338534.39999999997
ORD-2024-000159,2024-07-03,CUS-01752,prd-0010,10,EACH,16050,160500
ORD-2024-000162,2024-07-03,CUS-01848,prd-0023,6,EACH,16940,101640
ORD-2024-000163,2024-07-03,CUS-02493,prd-0025,6,EACH,5090,30540
ORD-2024-000168,2024-07-03,CUS-01374,prd-0047,0.9,CARTON,190600,171540.0
ORD-2024-000188,2024-07-03,CUS-01229,prd-0100,0.25,CARTON,498720,124680.0
ORD-2024-000192,2024-07-03,CUS-01877,prd-0121,1.17,CARTON,158580,185538.59999999998
ORD-2024-000203,2024-07-03,CUS-00393,prd-0151,2.75,CARTON,171360,471240.0
ORD-2024-000204,2024-07-03,CUS-01749,prd-0151,0.5,CARTON,171360,85680.0
ORD-2024-000210,2024-07-03,CUS-02107,prd-0160,0.25,CARTON,1581120,395280.0
ORD-2024-000229,2024-07-04,CUS-02096,prd-0029,10,EACH,11070,110700
ORD-2024-000236,2024-07-04,CUS-00834,prd-0060,0.12,CARTON,2877000,345240.0
ORD-2024-000237,2024-07-04,CUS-00249,prd-0061,12,EACH,16320,195840
ORD-2024-000252,2024-07-04,CUS-02476,prd-0090,0.67,CARTON,452280,303027.60000000003
ORD-2024-000253,2024-07-04,CUS-00159,prd-0090,1.67,CARTON,452280,755307.6
ORD-2024-000254,2024-07-04,CUS-01332,prd-0090,0.75,CARTON,452280,339210.0
ORD-2024-000257,2024-07-04,CUS-02446,prd-0095,4,EACH,20290,81160
ORD-2024-000261,2024-07-04,CUS-01771,prd-0100,0.46,CARTON,498720,229411.2
ORD-2024-000262,2024-07-04,CUS-02346,prd-0100,13,EACH,20780,270140
ORD-2024-000265,2024-07-04,CUS-01649,prd-0103,0.92,CARTON,461760,424819.19999999995
ORD-2024-000271,2024-07-04,CUS-01201,prd-0120,0.46,CARTON,353760,162729.6
ORD-2024-000274,2024-07-04,CUS-01565,prd-0125,0.43,CARTON,461400,198402.0
ORD-2024-000276,2024-07-04,CUS-02443,prd-0126,0.17,CARTON,351240,59710.8
ORD-2024-000284,2024-07-04,CUS-02010,prd-0147,5,EACH,32330,161650
ORD-2024-000292,2024-07-04,CUS-01553,prd-0160,0.08,CARTON,1581120,126489.6
ORD-2024-000300,2024-07-04,CUS-01595,prd-0166,0.19,CARTON,1231200,233928.0
ORD-2024-000306,2024-07-05,CUS-00407,prd-0017,0.42,CARTON,476160,199987.19999999998
ORD-2024-000308,2024-07-05,CUS-02204,prd-0031,4,EACH,36660,146640
ORD-2024-000329,2024-07-05,CUS-01220,prd-0078,3,EACH,33720,101160
ORD-2024-000332,2024-07-05,CUS-02353,prd-0083,6,EACH,23690,142140
ORD-2024-000335,2024-07-05,CUS-01162,prd-0086,0.75,CARTON,338160,253620.0
ORD-2024-000336,2024-07-05,CUS-00802,prd-0090,2,EACH,37690,75380
ORD-2024-000337,2024-07-05,CUS-01470,prd-0090,0.58,CARTON,452280,262322.39999999997
ORD-2024-000338,2024-07-05,CUS-00584,prd-0090,2.25,CARTON,452280,1017630.0
ORD-2024-000341,2024-07-05,CUS-01841,prd-0093,0.17,CARTON,276960,47083.200000000004
ORD-2024-000360,2024-07-05,CUS-02028,prd-0143,0.58,CARTON,583680,338534.39999999997
ORD-2024-000365,2024-07-05,CUS-01833,prd-0151,4.75,CARTON,171360,813960.0
ORD-2024-000366,2024-07-05,CUS-01140,prd-0151,2.0,CARTON,171360,342720.0
ORD-2024-000376,2024-07-05,CUS-01545,prd-0161,0.17,CARTON,1566720,266342.4
ORD-2024-000382,2024-07-06,CUS-02224,prd-0005,0.5,CARTON,37320,18660.0
ORD-2024-000384,2024-07-06,CUS-00586,prd-0018,18,EACH,62570,1126260
ORD-2024-000389,2024-07-06,CUS-01417,prd-0051,2.5,CARTON,172280,430700.0
ORD-2024-000400,2024-07-06,CUS-00755,prd-0076,0.75,CARTON,336600,252450.0
ORD-2024-000403,2024-07-06,CUS-02120,prd-0084,1,EACH,27760,27760
ORD-2024-000420,2024-07-06,CUS-01431,prd-0118,9,EACH,23110,207990
ORD-2024-000424,2024-07-06,CUS-00252,prd-0125,0.17,CARTON,461400,78438.00000000001
ORD-2024-000427,2024-07-06,CUS-01444,prd-0142,0.5,CARTON,624360,312180.0
ORD-2024-000431,2024-07-06,CUS-01997,prd-0156,0.17,CARTON,702840,119482.80000000002
ORD-2024-000434,2024-07-06,CUS-01333,prd-0161,6,EACH,32640,195840
ORD-2024-000443,2024-07-07,CUS-00716,prd-0016,4,EACH,42680,170720
ORD-2024-000445,2024-07-07,CUS-00983,prd-0031,0.62,CARTON,879840,545500.8
ORD-2024-000446,2024-07-07,CUS-01568,prd-0048,9,EACH,16870,151830
ORD-2024-000457,2024-07-07,CUS-00565,prd-0151,3.75,CARTON,171360,642600.0
ORD-2024-000465,2024-07-08,CUS-01419,prd-0035,6,EACH,13660,81960
ORD-2024-000474,2024-07-08,CUS-01524,prd-0064,2.25,CARTON,145400,327150.0
ORD-2024-000483,2024-07-08,CUS-02009,prd-0086,6.67,CARTON,338160,2255527.2
ORD-2024-000484,2024-07-08,CUS-00533,prd-0087,0.5,CARTON,481400,240700.0
ORD-2024-000488,2024-07-08,CUS-01536,prd-0090,8,EACH,37690,301520
ORD-2024-000489,2024-07-08,CUS-01267,prd-0090,0.75,CARTON,452280,339210.0
ORD-2024-000493,2024-07-08,CUS-00930,prd-0093,7,EACH,23080,161560
ORD-2024-000502,2024-07-08,CUS-01839,prd-0109,6,EACH,30700,184200
ORD-2024-000509,2024-07-08,CUS-01751,prd-0121,14,EACH,26430,370020
ORD-2024-000512,2024-07-08,CUS-01054,prd-0125,0.9,CARTON,461400,415260.0
ORD-2024-000518,2024-07-08,CUS-02270,prd-0138,0.04,CARTON,1296960,51878.399999999994
ORD-2024-000519,2024-07-08,CUS-01002,prd-0138,0.23,CARTON,1296960,298300.80000000005
ORD-2024-000523,2024-07-08,CUS-01796,prd-0145,0.25,CARTON,763200,190800.0
ORD-2024-000525,2024-07-08,CUS-00058,prd-0151,3.25,CARTON,171360,556920.0
ORD-2024-000526,2024-07-08,CUS-01485,prd-0151,2.25,CARTON,171360,385560.0
ORD-2024-000532,2024-07-08,CUS-00304,prd-0160,4,EACH,32940,131760
ORD-2024-000551,2024-07-09,CUS-00326,prd-0035,0.5,CARTON,163920,81960.0
ORD-2024-000557,2024-07-09,CUS-01441,prd-0062,0.2,CARTON,894500,178900.0
ORD-2024-000563,2024-07-09,CUS-01136,prd-0083,0.42,CARTON,568560,238795.19999999998
ORD-2024-000564,2024-07-09,CUS-01451,prd-0085,0.08,CARTON,781920,62553.600000000006
ORD-2024-000589,2024-07-09,CUS-01998,prd-0125,0.1,CARTON,461400,46140.0
ORD-2024-000590,2024-07-09,CUS-01136,prd-0125,0.2,CARTON,461400,92280.0
ORD-2024-000591,2024-07-09,CUS-00540,prd-0131,0.06,CARTON,1121040,67262.4
ORD-2024-000592,2024-07-09,CUS-01506,prd-0135,19,EACH,32900,625100
ORD-2024-000600,2024-07-09,CUS-00334,prd-0151,2.5,CARTON,171360,428400.0
ORD-2024-000603,2024-07-09,CUS-00646,prd-0160,21,EACH,32940,691740
ORD-2024-000608,2024-07-10,CUS-01776,prd-0004,1.42,CARTON,53880,76509.59999999999
ORD-2024-000619,2024-07-10,CUS-01998,prd-0058,8,EACH,17980,143840
ORD-2024-000649,2024-07-10,CUS-02467,prd-0102,0.83,CARTON,204600,169818.0
ORD-2024-000653,2024-07-10,CUS-02364,prd-0118,4,EACH,23110,92440
ORD-2024-000655,2024-07-10,CUS-02500,prd-0120,0.54,CARTON,353760,191030.40000000002
ORD-2024-000656,2024-07-10,CUS-00975,prd-0123,0.62,CARTON,345840,214420.80000000002
ORD-2024-000665,2024-07-10,CUS-00556,prd-0142,0.25,CARTON,624360,156090.0
ORD-2024-000678,2024-07-10,CUS-00158,prd-0165,0.06,CARTON,1122240,67334.4
ORD-2024-000681,2024-07-11,CUS-02069,prd-0004,1.67,CARTON,53880,89979.59999999999
ORD-2024-000684,2024-07-11,CUS-01317,prd-0007,11,EACH,17070,187770
ORD-2024-000687,2024-07-11,CUS-01850,prd-0011,31,EACH,17170,532270
ORD-2024-000693,2024-07-11,CUS-02298,prd-0050,0.12,CARTON,130080,15609.599999999999
ORD-2024-000696,2024-07-11,CUS-01519,prd-0063,0.32,CARTON,753500,241120.00000000003
ORD-2024-000700,2024-07-11,CUS-00832,prd-0079,5,EACH,46870,234350
ORD-2024-000709,2024-07-11,CUS-01653,prd-0090,4,EACH,37690,150760
ORD-2024-000710,2024-07-11,CUS-02031,prd-0090,0.67,CARTON,452280,303027.60000000003
ORD-2024-000711,2024-07-11,CUS-02432,prd-0090,6,EACH,37690,226140
ORD-2024-000728,2024-07-11,CUS-01999,prd-0137,0.19,CARTON,1327200,252168.0
ORD-2024-000742,2024-07-11,CUS-01796,prd-0166,6,EACH,25650,153900
ORD-2024-000747,2024-07-12,CUS-00963,prd-0020,0.35,CARTON,1402080,490728.0
ORD-2024-000751,2024-07-12,CUS-00309,prd-0035,0.08,CARTON,163920,13113.599999999999
ORD-2024-000760,2024-07-12,CUS-00173,prd-0060,0.08,CARTON,2877000,230160.0
ORD-2024-000761,2024-07-12,CUS-02306,prd-0064,1.75,CARTON,145400,254450.0
ORD-2024-000762,2024-07-12,CUS-02378,prd-0075,8,EACH,34020,272160
ORD-2024-000766,2024-07-12,CUS-01722,prd-0077,1.17,CARTON,186720,218462.39999999997
ORD-2024-000768,2024-07-12,CUS-00352,prd-0078,0.33,CARTON,404640,133531.2
ORD-2024-000776,2024-07-12,CUS-00709,prd-0090,1.5,CARTON,452280,678420.0
ORD-2024-000777,2024-07-12,CUS-00501,prd-0090,0.17,CARTON,452280,76887.6
ORD-2024-000782,2024-07-12,CUS-00763,prd-0100,13,EACH,20780,270140
ORD-2024-000785,2024-07-12,CUS-02216,prd-0101,10,EACH,22590,225900
ORD-2024-000794,2024-07-12,CUS-02289,prd-0118,1.25,CARTON,277320,346650.0
ORD-2024-000801,2024-07-12,CUS-01339,prd-0125,0.57,CARTON,461400,262997.99999999994
ORD-2024-000802,2024-07-12,CUS-02051,prd-0125,18,EACH,15380,276840
ORD-2024-000808,2024-07-12,CUS-01495,prd-0136,0.08,CARTON,2637600,211008.0
ORD-2024-000816,2024-07-12,CUS-00569,prd-0151,0.25,CARTON,171360,42840.0
ORD-2024-000825,2024-07-12,CUS-00536,prd-0161,11,EACH,32640,359040
ORD-2024-000826,2024-07-12,CUS-00363,prd-0161,3,EACH,32640,97920
ORD-2024-000830,2024-07-13,CUS-01796,prd-0017,0.67,CARTON,476160,319027.2
ORD-2024-000833,2024-07-13,CUS-01533,prd-0031,15,EACH,36660,549900
ORD-2024-000836,2024-07-13,CUS-01320,prd-0046,5,EACH,17360,86800
ORD-2024-000838,2024-07-13,CUS-01417,prd-0059,8,EACH,50810,406480
ORD-2024-000846,2024-07-13,CUS-02089,prd-0074,13,EACH,38390,499070
ORD-2024-000847,2024-07-13,CUS-02430,prd-0074,1.4,CARTON,383900,537460.0
ORD-2024-000849,2024-07-13,CUS-00791,prd-0077,14,EACH,31120,435680
ORD-2024-000852,2024-07-13,CUS-01819,prd-0081,0.4,CARTON,421900,168760.0
ORD-2024-000856,2024-07-13,CUS-01998,prd-0090,1.08,CARTON,452280,488462.4
ORD-2024-000867,2024-07-13,CUS-01327,prd-0122,0.08,CARTON,459360,36748.8
ORD-2024-000872,2024-07-13,CUS-01405,prd-0151,7,EACH,42840,299880
ORD-2024-000878,2024-07-14,CUS-00569,prd-0046,0.85,CARTON,347200,295120.0
ORD-2024-000889,2024-07-14,CUS-02019,prd-0118,0.75,CARTON,277320,207990.0
ORD-2024-000896,2024-07-14,CUS-01925,prd-0160,0.04,CARTON,1581120,63244.8
ORD-2024-000897,2024-07-14,CUS-01979,prd-0162,1,EACH,28900,28900
ORD-2024-000901,2024-07-15,CUS-01750,prd-0004,13,EACH,4490,58370
ORD-2024-000904,2024-07-15,CUS-00941,prd-0022,0.25,CARTON,140160,35040.0
ORD-2024-000940,2024-07-15,CUS-00975,prd-0090,0.58,CARTON,452280,262322.39999999997
ORD-2024-000953,2024-07-15,CUS-02374,prd-0121,1.0,CARTON,158580,158580.0
ORD-2024-000961,2024-07-15,CUS-02315,prd-0157,0.92,CARTON,297720,273902.4
ORD-2024-000962,2024-07-15,CUS-00062,prd-0160,0.06,CARTON,1581120,94867.2
ORD-2024-000966,2024-07-15,CUS-01862,prd-0162,7,EACH,28900,202300
ORD-2024-000988,2024-07-16,CUS-02240,prd-0048,4.2,CARTON,84350,354270.0
ORD-2024-000989,2024-07-16,CUS-01684,prd-0051,0.75,CARTON,172280,129210.0
ORD-2024-001005,2024-07-16,CUS-00800,prd-0077,0.67,CARTON,186720,125102.40000000001
ORD-2024-001009,2024-07-16,CUS-01342,prd-0083,0.04,CARTON,568560,22742.4
ORD-2024-001013,2024-07-16,CUS-01633,prd-0086,7,EACH,28180,197260
ORD-2024-001014,2024-07-16,CUS-01747,prd-0087,1,EACH,24070,24070
ORD-2024-001019,2024-07-16,CUS-02157,prd-0090,0.33,CARTON,452280,149252.40000000002
ORD-2024-001020,2024-07-16,CUS-00716,prd-0090,3.17,CARTON,452280,1433727.6
ORD-2024-001021,2024-07-16,CUS-01404,prd-0090,0.42,CARTON,452280,189957.59999999998
ORD-2024-001037,2024-07-16,CUS-00396,prd-0118,0.5,CARTON,277320,138660.0
ORD-2024-001038,2024-07-16,CUS-00285,prd-0121,1.0,CARTON,158580,158580.0
ORD-2024-001039,2024-07-16,CUS-01339,prd-0121,1.5,CARTON,158580,237870.0
ORD-2024-001041,2024-07-16,CUS-01249,prd-0125,0.07,CARTON,461400,32298.000000000004
ORD-2024-001051,2024-07-16,CUS-00787,prd-0150,7,EACH,47850,334950
ORD-2024-001055,2024-07-16,CUS-00009,prd-0151,2.75,CARTON,171360,471240.0
ORD-2024-001058,2024-07-16,CUS-02381,prd-0156,0.33,CARTON,702840,231937.2
ORD-2024-001064,2024-07-16,CUS-01117,prd-0166,0.17,CARTON,1231200,209304.0
ORD-2024-001067,2024-07-17,CUS-00352,prd-0004,2,EACH,4490,8980
ORD-2024-001074,2024-07-17,CUS-01594,prd-0025,0.75,CARTON,61080,45810.0
ORD-2024-001076,2024-07-17,CUS-00031,prd-0039,0.33,CARTON,354480,116978.40000000001
ORD-2024-001088,2024-07-17,CUS-01156,prd-0057,2.4,CARTON,180400,432960.0
ORD-2024-001092,2024-07-17,CUS-02403,prd-0062,0.04,CARTON,894500,35780.0
ORD-2024-001096,2024-07-17,CUS-01023,prd-0075,4,EACH,34020,136080
ORD-2024-001111,2024-07-17,CUS-00257,prd-0100,1,EACH,20780,20780
ORD-2024-001115,2024-07-17,CUS-01536,prd-0118,0.33,CARTON,277320,91515.6
ORD-2024-001119,2024-07-17,CUS-02197,prd-0125,0.2,CARTON,461400,92280.0
ORD-2024-001124,2024-07-17,CUS-01245,prd-0135,0.12,CARTON,1579200,189504.0
ORD-2024-001128,2024-07-17,CUS-02101,prd-0142,5,EACH,52030,260150
ORD-2024-001135,2024-07-17,CUS-02389,prd-0153,0.08,CARTON,1162560,93004.8
ORD-2024-001142,2024-07-17,CUS-01750,prd-0168,0.67,CARTON,233880,156699.6
ORD-2024-001157,2024-07-18,CUS-02375,prd-0039,0.17,CARTON,354480,60261.600000000006
ORD-2024-001158,2024-07-18,CUS-01715,prd-0039,15,EACH,14770,221550
ORD-2024-001177,2024-07-18,CUS-00781,prd-0083,20,EACH,23690,473800
ORD-2024-001184,2024-07-18,CUS-01554,prd-0090,8,EACH,37690,301520
ORD-2024-001185,2024-07-18,CUS-00352,prd-0090,0.08,CARTON,452280,36182.4
ORD-2024-001195,2024-07-18,CUS-01738,prd-0100,0.08,CARTON,498720,39897.600000000006
ORD-2024-001198,2024-07-18,CUS-00989,prd-0103,4,EACH,38480,153920
ORD-2024-001201,2024-07-18,CUS-02396,prd-0110,10,EACH,30350,303500
ORD-2024-001213,2024-07-18,CUS-01409,prd-0145,0.25,CARTON,763200,190800.0
ORD-2024-001214,2024-07-18,CUS-02412,prd-0145,0.21,CARTON,763200,160272.0
ORD-2024-001228,2024-07-18,CUS-01263,prd-0160,0.08,CARTON,1581120,126489.6
ORD-2024-001230,2024-07-18,CUS-00152,prd-0161,8,EACH,32640,261120
ORD-2024-001234,2024-07-19,CUS-01569,prd-0007,1.58,CARTON,204840,323647.2
ORD-2024-001238,2024-07-19,CUS-02218,prd-0024,10,EACH,9800,98000
ORD-2024-001247,2024-07-19,CUS-01989,prd-0039,0.17,CARTON,354480,60261.600000000006
ORD-2024-001252,2024-07-19,CUS-01307,prd-0060,0.06,CARTON,2877000,172620.0
ORD-2024-001254,2024-07-19,CUS-01948,prd-0062,0.2,CARTON,894500,178900.0
ORD-2024-001257,2024-07-19,CUS-00810,prd-0068,0.17,CARTON,195840,33292.8
ORD-2024-001259,2024-07-19,CUS-00711,prd-0074,3,EACH,38390,115170
ORD-2024-001260,2024-07-19,CUS-00963,prd-0078,1.5,CARTON,404640,606960.0
ORD-2024-001262,2024-07-19,CUS-00241,prd-0083,0.25,CARTON,568560,142140.0
ORD-2024-001283,2024-07-19,CUS-00500,prd-0121,6,EACH,26430,158580
ORD-2024-001294,2024-07-19,CUS-02127,prd-0151,1,EACH,42840,42840
ORD-2024-001302,2024-07-19,CUS-00728,prd-0161,35,EACH,32640,1142400
ORD-2024-001317,2024-07-20,CUS-01074,prd-0023,0.33,CARTON,203280,67082.4
ORD-2024-001323,2024-07-20,CUS-01868,prd-0060,0.12,CARTON,2877000,345240.0
ORD-2024-001325,2024-07-20,CUS-00993,prd-0061,0.04,CARTON,816000,32640.000000000004
ORD-2024-001331,2024-07-20,CUS-00551,prd-0086,2.75,CARTON,338160,929940.0
ORD-2024-001338,2024-07-20,CUS-01601,prd-0090,1.17,CARTON,452280,529167.6
ORD-2024-001345,2024-07-20,CUS-00518,prd-0102,8,EACH,17050,136400
ORD-2024-001362,2024-07-20,CUS-01945,prd-0153,0.08,CARTON,1162560,93004.8
ORD-2024-001382,2024-07-21,CUS-02036,prd-0120,5,EACH,14740,73700
ORD-2024-001385,2024-07-21,CUS-01621,prd-0170,3,EACH,17370,52110
ORD-2024-001397,2024-07-22,CUS-02165,prd-0031,4,EACH,36660,146640
ORD-2024-001406,2024-07-22,CUS-01778,prd-0064,3.0,CARTON,145400,436200.0
ORD-2024-001413,2024-07-22,CUS-01245,prd-0072,1.3,CARTON,426000,553800.0
ORD-2024-001415,2024-07-22,CUS-02142,prd-0074,0.7,CARTON,383900,268730.0
ORD-2024-001444,2024-07-22,CUS-01105,prd-0144,0.08,CARTON,383880,30710.4
ORD-2024-001450,2024-07-22,CUS-01418,prd-0153,11,EACH,24220,266420
ORD-2024-001461,2024-07-23,CUS-01955,prd-0013,0.83,CARTON,143640,119221.20000000001
ORD-2024-001465,2024-07-23,CUS-00690,prd-0035,0.33,CARTON,163920,54093.600000000006
ORD-2024-001471,2024-07-23,CUS-02488,prd-0041,0.83,CARTON,81960,68026.79999999999
ORD-2024-001473,2024-07-23,CUS-02226,prd-0051,0.75,CARTON,172280,129210.0
ORD-2024-001476,2024-07-23,CUS-00173,prd-0052,2.0,CARTON,174520,349040.0
ORD-2024-001477,2024-07-23,CUS-00402,prd-0060,0.02,CARTON,2877000,57540.0
ORD-2024-001478,2024-07-23,CUS-01532,prd-0060,0.28,CARTON,2877000,805560.0
ORD-2024-001491,2024-07-23,CUS-02489,prd-0084,0.25,CARTON,666240,166560.0
ORD-2024-001501,2024-07-23,CUS-00594,prd-0090,0.42,CARTON,452280,189957.59999999998
ORD-2024-001502,2024-07-23,CUS-02024,prd-0090,0.5,CARTON,452280,226140.0
ORD-2024-001507,2024-07-23,CUS-01571,prd-0093,7,EACH,23080,161560
ORD-2024-001510,2024-07-23,CUS-00589,prd-0100,39,EACH,20780,810420
ORD-2024-001513,2024-07-23,CUS-01718,prd-0111,0.29,CARTON,587520,170380.8
ORD-2024-001519,2024-07-23,CUS-00358,prd-0125,0.17,CARTON,461400,78438.00000000001
ORD-2024-001524,2024-07-23,CUS-01541,prd-0151,12,EACH,42840,514080
ORD-2024-001525,2024-07-23,CUS-02013,prd-0151,6,EACH,42840,257040
ORD-2024-001528,2024-07-23,CUS-02270,prd-0160,0.17,CARTON,1581120,268790.4
ORD-2024-001531,2024-07-23,CUS-02235,prd-0165,4,EACH,23380,93520
ORD-2024-001544,2024-07-24,CUS-01255,prd-0025,6,EACH,5090,30540
ORD-2024-001560,2024-07-24,CUS-01867,prd-0057,0.4,CARTON,180400,72160.0
ORD-2024-001566,2024-07-24,CUS-00676,prd-0070,0.4,CARTON,192400,76960.0
ORD-2024-001570,2024-07-24,CUS-01734,prd-0077,1.33,CARTON,186720,248337.60000000003
ORD-2024-001574,2024-07-24,CUS-02172,prd-0082,0.25,CARTON,368760,92190.0
ORD-2024-001585,2024-07-24,CUS-02111,prd-0098,1.0,CARTON,183840,183840.0
ORD-2024-001590,2024-07-24,CUS-00250,prd-0108,0.29,CARTON,738000,214020.0
ORD-2024-001601,2024-07-24,CUS-01464,prd-0144,0.42,CARTON,383880,161229.59999999998
ORD-2024-001607,2024-07-24,CUS-02169,prd-0155,3,EACH,65880,197640
ORD-2024-001614,2024-07-25,CUS-02045,prd-0014,0.5,CARTON,165480,82740.0
ORD-2024-001616,2024-07-25,CUS-02431,prd-0018,0.83,CARTON,750840,623197.2
ORD-2024-001617,2024-07-25,CUS-00721,prd-0023,0.42,CARTON,203280,85377.6
ORD-2024-001618,2024-07-25,CUS-00542,prd-0023,0.5,CARTON,203280,101640.0
ORD-2024-001620,2024-07-25,CUS-00287,prd-0037,16,EACH,25650,410400
ORD-2024-001625,2024-07-25,CUS-00680,prd-0052,2,EACH,43630,87260
ORD-2024-001633,2024-07-25,CUS-00776,prd-0076,0.42,CARTON,336600,141372.0
ORD-2024-001635,2024-07-25,CUS-02498,prd-0078,15,EACH,33720,505800
ORD-2024-001645,2024-07-25,CUS-00391,prd-0091,0.17,CARTON,324120,55100.40000000001
ORD-2024-001647,2024-07-25,CUS-00101,prd-0092,0.5,CARTON,363120,181560.0
ORD-2024-001653,2024-07-25,CUS-00320,prd-0108,35,EACH,30750,1076250
ORD-2024-001668,2024-07-25,CUS-00415,prd-0142,3,EACH,52030,156090
ORD-2024-001669,2024-07-25,CUS-01267,prd-0142,2,EACH,52030,104060
ORD-2024-001680,2024-07-26,CUS-01343,prd-0007,6,EACH,17070,102420
ORD-2024-001690,2024-07-26,CUS-00911,prd-0035,0.17,CARTON,163920,27866.4
ORD-2024-001696,2024-07-26,CUS-00742,prd-0045,7,EACH,7340,51380
ORD-2024-001697,2024-07-26,CUS-01731,prd-0045,0.58,CARTON,88080,51086.399999999994
ORD-2024-001705,2024-07-26,CUS-00127,prd-0065,0.75,CARTON,408000,306000.0
ORD-2024-001714,2024-07-26,CUS-01531,prd-0077,2.0,CARTON,186720,373440.0
ORD-2024-001722,2024-07-26,CUS-00718,prd-0090,0.92,CARTON,452280,416097.60000000003
ORD-2024-001727,2024-07-26,CUS-01329,prd-0100,0.08,CARTON,498720,39897.600000000006
ORD-2024-001729,2024-07-26,CUS-00530,prd-0109,16,EACH,30700,491200
ORD-2024-001730,2024-07-26,CUS-01135,prd-0109,0.58,CARTON,368400,213672.0
ORD-2024-001732,2024-07-26,CUS-01861,prd-0118,0.5,CARTON,277320,138660.0
ORD-2024-001757,2024-07-26,CUS-01623,prd-0164,0.25,CARTON,478080,119520.0
ORD-2024-001760,2024-07-26,CUS-00797,prd-0169,0.12,CARTON,734880,88185.6
ORD-2024-001762,2024-07-27,CUS-02345,prd-0004,8,EACH,4490,35920
ORD-2024-001765,2024-07-27,CUS-00633,prd-0015,0.04,CARTON,425000,17000.0
ORD-2024-001768,2024-07-27,CUS-00970,prd-0031,0.38,CARTON,879840,334339.19999999995
ORD-2024-001777,2024-07-27,CUS-02120,prd-0083,0.42,CARTON,568560,238795.19999999998
ORD-2024-001784,2024-07-27,CUS-01942,prd-0095,0.5,CARTON,243480,121740.0
ORD-2024-001785,2024-07-27,CUS-00363,prd-0096,0.75,CARTON,276720,207540.0
ORD-2024-001793,2024-07-27,CUS-00560,prd-0117,0.08,CARTON,840960,67276.8
ORD-2024-001794,2024-07-27,CUS-01308,prd-0118,12,EACH,23110,277320
ORD-2024-001799,2024-07-27,CUS-02247,prd-0125,0.2,CARTON,461400,92280.0
ORD-2024-001800,2024-07-27,CUS-00817,prd-0125,32,EACH,15380,492160
ORD-2024-001807,2024-07-27,CUS-01908,prd-0143,0.92,CARTON,583680,536985.6000000001
ORD-2024-001820,2024-07-28,CUS-00426,prd-0016,0.58,CARTON,512160,297052.8
ORD-2024-001823,2024-07-28,CUS-00434,prd-0031,0.25,CARTON,879840,219960.0
ORD-2024-001824,2024-07-28,CUS-01789,prd-0033,0.54,CARTON,264960,143078.40000000002
ORD-2024-001825,2024-07-28,CUS-01777,prd-0037,2,EACH,25650,51300
ORD-2024-001829,2024-07-28,CUS-02033,prd-0078,0.42,CARTON,404640,169948.8
ORD-2024-001840,2024-07-28,CUS-00287,prd-0108,0.21,CARTON,738000,154980.0
ORD-2024-001844,2024-07-28,CUS-01147,prd-0151,3,EACH,42840,128520
