TxnID,TxnDate,TxnType,WarehouseID,ProductID,QtyChange,Reference,EmployeeID
TXN-000075,2024-07-23,RECEIPT,WH-ABJ,PRD-0114,25,PO-2024-00040,EMP-008
TXN-000076,2024-07-23,RECEIPT,WH-PHC,PRD-0029,34,PO-2024-00072,EMP-019
TXN-000077,2024-07-23,RECEIPT,WH-IBD,PRD-0075,20,PO-2024-00103,EMP-037
TXN-000078,2024-07-23,RECEIPT,WH-IBD,PRD-0101,21,PO-2024-00110,EMP-037
TXN-000079,2024-07-23,RECEIPT,WH-PHC,PRD-0117,73,PO-2024-00118,EMP-004
TXN-000080,2024-07-23,RECEIPT,WH-ABJ,PRD-0143,52,PO-2024-00135,EMP-008
TXN-000081,2024-07-23,RECEIPT,WH-LAG2,PRD-0161,227,PO-2024-00145,EMP-006
TXN-000082,2024-07-23,RECEIPT,WH-IBD,PRD-0162,51,PO-2024-00146,EMP-007
TXN-000083,2024-07-23,RECEIPT,WH-PHC,PRD-0170,58,PO-2024-00150,EMP-009
TXN-000084,2024-07-24,RECEIPT,WH-LAG1,PRD-0079,101,PO-2024-00104,EMP-020
TXN-000085,2024-07-24,RECEIPT,WH-PHC,PRD-0105,33,PO-2024-00113,EMP-004
TXN-000086,2024-07-24,RECEIPT,WH-IBD,PRD-0111,107,PO-2024-00114,EMP-002
TXN-000087,2024-07-24,RECEIPT,WH-LAG1,PRD-0141,115,PO-2024-00134,EMP-040
TXN-000088,2024-07-24,RECEIPT,WH-PHC,PRD-0143,36,PO-2024-00136,EMP-024
TXN-000089,2024-07-24,RECEIPT,WH-LAG2,PRD-0157,49,PO-2024-00142,EMP-026
TXN-000090,2024-07-24,RECEIPT,WH-LAG1,PRD-0167,113,PO-2024-00148,EMP-040
TXN-000091,2024-07-25,RECEIPT,WH-ABJ,PRD-0088,59,PO-2024-00032,EMP-023
TXN-000092,2024-07-25,RECEIPT,WH-ABJ,PRD-0035,90,PO-2024-00076,EMP-023
TXN-000093,2024-07-25,RECEIPT,WH-PHC,PRD-0040,61,PO-2024-00083,EMP-029
TXN-000094,2024-07-25,RECEIPT,WH-LAG2,PRD-0116,52,PO-2024-00117,EMP-016
TXN-000095,2024-07-25,RECEIPT,WH-PHC,PRD-0148,43,PO-2024-00137,EMP-019
TXN-000096,2024-07-25,RECEIPT,WH-PHC,PRD-0156,176,PO-2024-00141,EMP-039
TXN-000097,2024-07-25,RECEIPT,WH-ABJ,PRD-0007,112,PO-2024-00152,EMP-028
TXN-000098,2024-07-25,RECEIPT,WH-LAG2,PRD-0035,75,PO-2024-00165,EMP-011
TXN-000099,2024-07-25,RECEIPT,WH-ABJ,PRD-0081,95,PO-2024-00187,EMP-003
TXN-000100,2024-07-25,RECEIPT,WH-ABJ,PRD-0164,60,PO-2024-00229,EMP-008
TXN-000101,2024-07-25,RECEIPT,WH-ABJ,PRD-0166,141,PO-2024-00232,EMP-028
TXN-000102,2024-07-26,RECEIPT,WH-LAG2,PRD-0118,121,PO-2024-00043,EMP-026
TXN-000103,2024-07-26,RECEIPT,WH-IBD,PRD-0125,328,PO-2024-00123,EMP-022
TXN-000104,2024-07-26,RECEIPT,WH-ABJ,PRD-0126,52,PO-2024-00124,EMP-003
TXN-000105,2024-07-26,RECEIPT,WH-LAG1,PRD-0135,286,PO-2024-00127,EMP-010
TXN-000106,2024-07-26,RECEIPT,WH-IBD,PRD-0135,154,PO-2024-00128,EMP-022
TXN-000107,2024-07-26,RECEIPT,WH-LAG1,PRD-0139,131,PO-2024-00133,EMP-005
TXN-000108,2024-07-26,RECEIPT,WH-LAG1,PRD-0150,141,PO-2024-00139,EMP-030
TXN-000109,2024-07-26,RECEIPT,WH-LAG2,PRD-0011,91,PO-2024-00154,EMP-031
TXN-000110,2024-07-26,RECEIPT,WH-IBD,PRD-0103,79,PO-2024-00200,EMP-027
TXN-000111,2024-07-26,RECEIPT,WH-LAG2,PRD-0145,79,PO-2024-00216,EMP-001
TXN-000112,2024-07-26,RECEIPT,WH-PHC,PRD-0164,52,PO-2024-00230,EMP-014
TXN-000113,2024-07-27,RECEIPT,WH-LAG1,PRD-0024,58,PO-2024-00020,EMP-025
TXN-000114,2024-07-27,RECEIPT,WH-LAG2,PRD-0038,27,PO-2024-00023,EMP-006
TXN-000115,2024-07-27,RECEIPT,WH-PHC,PRD-0056,55,PO-2024-00091,EMP-024
TXN-000116,2024-07-27,RECEIPT,WH-LAG1,PRD-0120,251,PO-2024-00120,EMP-035
TXN-000117,2024-07-27,RECEIPT,WH-ABJ,PRD-0128,82,PO-2024-00125,EMP-028
TXN-000118,2024-07-27,RECEIPT,WH-LAG2,PRD-0163,58,PO-2024-00147,EMP-026
TXN-000119,2024-07-27,RECEIPT,WH-IBD,PRD-0060,106,PO-2024-00175,EMP-022
TXN-000120,2024-07-27,RECEIPT,WH-LAG2,PRD-0075,27,PO-2024-00182,EMP-026
TXN-000121,2024-07-27,RECEIPT,WH-IBD,PRD-0083,103,PO-2024-00188,EMP-007
TXN-000122,2024-07-27,RECEIPT,WH-PHC,PRD-0110,25,PO-2024-00204,EMP-014
TXN-000123,2024-07-27,RECEIPT,WH-LAG2,PRD-0156,153,PO-2024-00223,EMP-016
TXN-000124,2024-07-27,RECEIPT,WH-ABJ,PRD-0170,90,PO-2024-00233,EMP-018
TXN-000125,2024-07-28,RECEIPT,WH-IBD,PRD-0121,154,PO-2024-00046,EMP-012
TXN-000126,2024-07-28,RECEIPT,WH-LAG1,PRD-0093,229,PO-2024-00107,EMP-015
TXN-000127,2024-07-28,RECEIPT,WH-LAG1,PRD-0115,162,PO-2024-00116,EMP-015
TXN-000128,2024-07-28,RECEIPT,WH-IBD,PRD-0160,145,PO-2024-00144,EMP-002
TXN-000129,2024-07-28,RECEIPT,WH-ABJ,PRD-0004,201,PO-2024-00151,EMP-013
TXN-000130,2024-07-28,RECEIPT,WH-LAG2,PRD-0053,18,PO-2024-00172,EMP-021
TXN-000131,2024-07-28,RECEIPT,WH-PHC,PRD-0060,121,PO-2024-00176,EMP-009
TXN-000132,2024-07-28,RECEIPT,WH-LAG2,PRD-0105,34,PO-2024-00201,EMP-036
TXN-000133,2024-07-28,RECEIPT,WH-LAG1,PRD-0136,97,PO-2024-00210,EMP-035
TXN-000134,2024-07-29,RECEIPT,WH-LAG2,PRD-0001,36,PO-2024-00011,EMP-021
TXN-000135,2024-07-29,RECEIPT,WH-ABJ,PRD-0002,39,PO-2024-00013,EMP-033
TXN-000136,2024-07-29,RECEIPT,WH-IBD,PRD-0010,20,PO-2024-00015,EMP-017
TXN-000137,2024-07-29,RECEIPT,WH-LAG1,PRD-0033,90,PO-2024-00074,EMP-035
TXN-000138,2024-07-29,RECEIPT,WH-ABJ,PRD-0033,67,PO-2024-00075,EMP-018
TXN-000139,2024-07-29,RECEIPT,WH-LAG2,PRD-0132,65,PO-2024-00126,EMP-001
TXN-000140,2024-07-29,RECEIPT,WH-ABJ,PRD-0149,30,PO-2024-00138,EMP-028
TXN-000141,2024-07-29,RECEIPT,WH-LAG2,PRD-0153,137,PO-2024-00140,EMP-021
TXN-000142,2024-07-29,RECEIPT,WH-LAG1,PRD-0031,210,PO-2024-00164,EMP-035
TXN-000143,2024-07-29,RECEIPT,WH-IBD,PRD-0039,124,PO-2024-00167,EMP-002
TXN-000144,2024-07-29,RECEIPT,WH-IBD,PRD-0062,126,PO-2024-00178,EMP-037
TXN-000145,2024-07-29,RECEIPT,WH-LAG1,PRD-0143,75,PO-2024-00215,EMP-005
TXN-000146,2024-07-29,RECEIPT,WH-LAG1,PRD-0165,319,PO-2024-00231,EMP-025
TXN-000147,2024-07-30,RECEIPT,WH-ABJ,PRD-0124,68,PO-2024-00047,EMP-023
TXN-000148,2024-07-30,RECEIPT,WH-LAG2,PRD-0037,125,PO-2024-00079,EMP-016
TXN-000149,2024-07-30,RECEIPT,WH-LAG2,PRD-0098,161,PO-2024-00109,EMP-001
TXN-000150,2024-07-30,RECEIPT,WH-LAG2,PRD-0062,100,PO-2024-00177,EMP-031
TXN-000151,2024-07-30,RECEIPT,WH-IBD,PRD-0136,70,PO-2024-00211,EMP-012
TXN-000152,2024-07-30,RECEIPT,WH-LAG2,PRD-0150,57,PO-2024-00218,EMP-036
TXN-000153,2024-07-30,RECEIPT,WH-PHC,PRD-0161,326,PO-2024-00226,EMP-019
TXN-000154,2024-07-30,TRANSFER_OUT,WH-PHC,PRD-0161,-107,TRF-00002,EMP-004
TXN-000155,2024-07-30,TRANSFER_IN,WH-IBD,PRD-0161,107,TRF-00002,EMP-007
TXN-000156,2024-07-31,RECEIPT,WH-IBD,PRD-0017,42,PO-2024-00066,EMP-007
TXN-000157,2024-07-31,RECEIPT,WH-ABJ,PRD-0113,117,PO-2024-00115,EMP-038
TXN-000158,2024-07-31,RECEIPT,WH-ABJ,PRD-0008,44,PO-2024-00153,EMP-013
TXN-000159,2024-07-31,RECEIPT,WH-PHC,PRD-0083,121,PO-2024-00189,EMP-009
TXN-000160,2024-07-31,RECEIPT,WH-LAG1,PRD-0108,319,PO-2024-00202,EMP-020
TXN-000161,2024-07-31,RECEIPT,WH-LAG1,PRD-0163,113,PO-2024-00227,EMP-020
TXN-000162,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0094,-2,SHRINKAGE,EMP-035
TXN-000163,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0102,-1,EXPIRY,EMP-040
TXN-000164,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0021,-1,DAMAGE,EMP-015
TXN-000165,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0012,-2,DAMAGE,EMP-020
TXN-000166,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0091,-2,SHRINKAGE,EMP-040
TXN-000167,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0159,-2,EXPIRY,EMP-040
TXN-000168,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0081,-2,SHRINKAGE,EMP-030
TXN-000169,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0108,-5,SHRINKAGE,EMP-035
TXN-000170,2024-07-31,ADJUSTMENT,WH-LAG1,PRD-0127,-2,SHRINKAGE,EMP-040
TXN-000171,2024-07-31,ADJUSTMENT,WH-LAG2,PRD-0024,-1,SHRINKAGE,EMP-006
TXN-000172,2024-07-31,ADJUSTMENT,WH-LAG2,PRD-0101,-2,DAMAGE,EMP-016
TXN-000173,2024-07-31,ADJUSTMENT,WH-LAG2,PRD-0043,-2,DAMAGE,EMP-011
TXN-000174,2024-07-31,ADJUSTMENT,WH-LAG2,PRD-0029,-2,EXPIRY,EMP-021
TXN-000175,2024-07-31,ADJUSTMENT,WH-LAG2,PRD-0091,-1,EXPIRY,EMP-011
TXN-000176,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0073,-2,EXPIRY,EMP-012
TXN-000177,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0031,-2,SHRINKAGE,EMP-007
TXN-000178,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0004,-1,SHRINKAGE,EMP-017
TXN-000179,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0081,-1,DAMAGE,EMP-027
TXN-000180,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0129,-1,EXPIRY,EMP-017
TXN-000181,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0094,-1,SHRINKAGE,EMP-032
TXN-000182,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0149,-1,SHRINKAGE,EMP-007
TXN-000183,2024-07-31,ADJUSTMENT,WH-IBD,PRD-0138,-1,SHRINKAGE,EMP-032
TXN-000184,2024-07-31,ADJUSTMENT,WH-ABJ,PRD-0053,-2,EXPIRY,EMP-003
TXN-000185,2024-07-31,ADJUSTMENT,WH-ABJ,PRD-0083,-2,EXPIRY,EMP-018
TXN-000186,2024-07-31,ADJUSTMENT,WH-ABJ,PRD-0024,-1,EXPIRY,EMP-003
TXN-000187,2024-07-31,ADJUSTMENT,WH-ABJ,PRD-0128,-2,DAMAGE,EMP-028
TXN-000188,2024-07-31,ADJUSTMENT,WH-PHC,PRD-0169,-1,SHRINKAGE,EMP-024
TXN-000189,2024-07-31,ADJUSTMENT,WH-PHC,PRD-0096,-1,DAMAGE,EMP-034
TXN-000190,2024-07-31,ADJUSTMENT,WH-PHC,PRD-0071,-1,DAMAGE,EMP-024
TXN-000191,2024-08-01,RECEIPT,WH-LAG1,PRD-0055,77,PO-2024-00024,EMP-040
TXN-000192,2024-08-01,RECEIPT,WH-ABJ,PRD-0065,126,PO-2024-00097,EMP-018
TXN-000193,2024-08-01,RECEIPT,WH-LAG1,PRD-0013,44,PO-2024-00155,EMP-005
TXN-000194,2024-08-01,RECEIPT,WH-LAG1,PRD-0022,38,PO-2024-00157,EMP-005
TXN-000195,2024-08-01,RECEIPT,WH-IBD,PRD-0024,32,PO-2024-00158,EMP-032
TXN-000196,2024-08-01,RECEIPT,WH-LAG2,PRD-0025,42,PO-2024-00159,EMP-001
TXN-000197,2024-08-01,RECEIPT,WH-PHC,PRD-0098,122,PO-2024-00194,EMP-019
TXN-000198,2024-08-01,RECEIPT,WH-LAG1,PRD-0103,152,PO-2024-00199,EMP-015
TXN-000199,2024-08-01,RECEIPT,WH-IBD,PRD-0110,23,PO-2024-00203,EMP-037
TXN-000200,2024-08-01,RECEIPT,WH-LAG2,PRD-0142,140,PO-2024-00214,EMP-026
TXN-000201,2024-08-01,RECEIPT,WH-PHC,PRD-0146,53,PO-2024-00217,EMP-039
TXN-000202,2024-08-01,RECEIPT,WH-IBD,PRD-0153,123,PO-2024-00221,EMP-017
TXN-000203,2024-08-01,RECEIPT,WH-LAG1,PRD-0011,130,PO-2024-00240,EMP-040
TXN-000204,2024-08-02,RECEIPT,WH-ABJ,PRD-0041,63,PO-2024-00084,EMP-028
TXN-000205,2024-08-02,RECEIPT,WH-ABJ,PRD-0123,91,PO-2024-00122,EMP-033
TXN-000206,2024-08-02,RECEIPT,WH-LAG2,PRD-0139,82,PO-2024-00212,EMP-016
TXN-000207,2024-08-02,RECEIPT,WH-ABJ,PRD-0156,152,PO-2024-00224,EMP-003
TXN-000208,2024-08-02,RECEIPT,WH-LAG2,PRD-0164,48,PO-2024-00228,EMP-021
TXN-000209,2024-08-02,RECEIPT,WH-PHC,PRD-0004,178,PO-2024-00235,EMP-004
TXN-000210,2024-08-02,RECEIPT,WH-PHC,PRD-0063,77,PO-2024-00268,EMP-024
TXN-000211,2024-08-02,RECEIPT,WH-LAG1,PRD-0075,58,PO-2024-00273,EMP-025
TXN-000212,2024-08-02,RECEIPT,WH-ABJ,PRD-0151,838,PO-2024-00313,EMP-008
TXN-000213,2024-08-03,RECEIPT,WH-LAG2,PRD-0023,72,PO-2024-00019,EMP-021
TXN-000214,2024-08-03,RECEIPT,WH-IBD,PRD-0086,238,PO-2024-00106,EMP-002
TXN-000215,2024-08-03,RECEIPT,WH-LAG2,PRD-0125,233,PO-2024-00207,EMP-001
TXN-000216,2024-08-03,RECEIPT,WH-LAG2,PRD-0133,46,PO-2024-00209,EMP-001
TXN-000217,2024-08-03,RECEIPT,WH-ABJ,PRD-0150,105,PO-2024-00219,EMP-033
TXN-000218,2024-08-03,RECEIPT,WH-ABJ,PRD-0154,58,PO-2024-00222,EMP-013
TXN-000219,2024-08-03,RECEIPT,WH-ABJ,PRD-0012,52,PO-2024-00241,EMP-028
TXN-000220,2024-08-03,RECEIPT,WH-PHC,PRD-0039,167,PO-2024-00256,EMP-004
TXN-000221,2024-08-03,RECEIPT,WH-PHC,PRD-0155,62,PO-2024-00314,EMP-024
TXN-000222,2024-08-04,RECEIPT,WH-IBD,PRD-0064,61,PO-2024-00179,EMP-012
TXN-000223,2024-08-04,RECEIPT,WH-LAG1,PRD-0114,32,PO-2024-00205,EMP-035
TXN-000224,2024-08-04,RECEIPT,WH-LAG1,PRD-0007,119,PO-2024-00237,EMP-010
TXN-000225,2024-08-04,RECEIPT,WH-IBD,PRD-0007,82,PO-2024-00238,EMP-027
TXN-000226,2024-08-04,RECEIPT,WH-LAG2,PRD-0068,110,PO-2024-00269,EMP-006
TXN-000227,2024-08-04,RECEIPT,WH-PHC,PRD-0075,22,PO-2024-00274,EMP-029
TXN-000228,2024-08-04,RECEIPT,WH-PHC,PRD-0084,119,PO-2024-00277,EMP-034
TXN-000229,2024-08-04,RECEIPT,WH-ABJ,PRD-0101,27,PO-2024-00288,EMP-038
TXN-000230,2024-08-04,RECEIPT,WH-LAG1,PRD-0128,151,PO-2024-00306,EMP-025
TXN-000231,2024-08-04,RECEIPT,WH-ABJ,PRD-0169,71,PO-2024-00323,EMP-003
TXN-000232,2024-08-05,RECEIPT,WH-LAG2,PRD-0002,28,PO-2024-00012,EMP-011
TXN-000233,2024-08-05,RECEIPT,WH-ABJ,PRD-0056,51,PO-2024-00025,EMP-038
TXN-000234,2024-08-05,RECEIPT,WH-PHC,PRD-0064,93,PO-2024-00027,EMP-039
TXN-000235,2024-08-05,RECEIPT,WH-IBD,PRD-0074,74,PO-2024-00102,EMP-007
TXN-000236,2024-08-05,RECEIPT,WH-IBD,PRD-0118,128,PO-2024-00119,EMP-022
TXN-000237,2024-08-05,RECEIPT,WH-IBD,PRD-0123,85,PO-2024-00121,EMP-007
TXN-000238,2024-08-05,RECEIPT,WH-LAG1,PRD-0074,185,PO-2024-00181,EMP-005
TXN-000239,2024-08-05,RECEIPT,WH-LAG2,PRD-0076,92,PO-2024-00184,EMP-021
TXN-000240,2024-08-05,RECEIPT,WH-LAG1,PRD-0080,131,PO-2024-00186,EMP-030
TXN-000241,2024-08-05,RECEIPT,WH-ABJ,PRD-0139,83,PO-2024-00213,EMP-013
TXN-000242,2024-08-05,RECEIPT,WH-LAG2,PRD-0159,59,PO-2024-00225,EMP-036
TXN-000243,2024-08-05,RECEIPT,WH-LAG1,PRD-0035,158,PO-2024-00252,EMP-035
TXN-000244,2024-08-05,RECEIPT,WH-ABJ,PRD-0045,93,PO-2024-00260,EMP-023
TXN-000245,2024-08-05,RECEIPT,WH-PHC,PRD-0045,50,PO-2024-00261,EMP-034
TXN-000246,2024-08-05,RECEIPT,WH-LAG1,PRD-0060,231,PO-2024-00265,EMP-005
TXN-000247,2024-08-05,RECEIPT,WH-PHC,PRD-0082,62,PO-2024-00276,EMP-004
TXN-000248,2024-08-05,RECEIPT,WH-ABJ,PRD-0157,59,PO-2024-00315,EMP-023
TXN-000249,2024-08-05,RECEIPT,WH-LAG1,PRD-0164,71,PO-2024-00320,EMP-030
TXN-000250,2024-08-06,RECEIPT,WH-PHC,PRD-0025,64,PO-2024-00161,EMP-019
TXN-000251,2024-08-06,RECEIPT,WH-ABJ,PRD-0028,76,PO-2024-00163,EMP-013
TXN-000252,2024-08-06,RECEIPT,WH-PHC,PRD-0047,54,PO-2024-00169,EMP-034
TXN-000253,2024-08-06,RECEIPT,WH-LAG1,PRD-0057,251,PO-2024-00174,EMP-030
TXN-000254,2024-08-06,RECEIPT,WH-ABJ,PRD-0130,55,PO-2024-00208,EMP-003
TXN-000255,2024-08-06,RECEIPT,WH-LAG1,PRD-0153,342,PO-2024-00220,EMP-005
TXN-000256,2024-08-06,RECEIPT,WH-IBD,PRD-0035,76,PO-2024-00253,EMP-007
TXN-000257,2024-08-06,RECEIPT,WH-ABJ,PRD-0037,94,PO-2024-00255,EMP-013
TXN-000258,2024-08-06,RECEIPT,WH-IBD,PRD-0096,20,PO-2024-00284,EMP-007
TXN-000259,2024-08-06,RECEIPT,WH-PHC,PRD-0109,81,PO-2024-00295,EMP-024
TXN-000260,2024-08-06,RECEIPT,WH-PHC,PRD-0145,94,PO-2024-00311,EMP-019
TXN-000261,2024-08-07,RECEIPT,WH-LAG2,PRD-0055,69,PO-2024-00089,EMP-001
TXN-000262,2024-08-07,RECEIPT,WH-LAG2,PRD-0056,41,PO-2024-00090,EMP-031
